27, 125 pa2-debug-f-our-output2.txt
  349.26,   217.51,   599.28
  350.38,   349.30,   352.65
  350.54,   345.64,   477.54
  350.20,   342.28,   602.70
  351.59,   474.35,   356.23
  351.23,   470.85,   481.00
  351.13,   467.07,   605.94
  100.90,   226.08,   476.94
  103.76,   229.36,   601.86
  106.96,   232.87,   726.98
  101.67,   351.16,   473.82
  104.63,   354.36,   598.69
  107.53,   357.57,   723.79
  102.02,   476.31,   470.57
  105.27,   479.47,   595.32
  108.25,   482.43,   720.23
  225.68,   225.58,   473.89
  228.83,   228.67,   598.67
  231.86,   231.80,   723.62
  226.33,   350.42,   470.71
  229.42,   353.53,   595.41
  232.73,   356.68,   720.34
  227.15,   475.36,   467.34
  230.13,   478.54,   592.40
  233.41,   481.67,   717.28
  350.91,   224.84,   470.81
  353.65,   227.90,   595.61
  356.79,   231.15,   720.72
  351.31,   349.67,   467.68
  354.42,   352.72,   592.64
  357.39,   356.09,   717.45
  351.98,   474.64,   464.42
  355.18,   477.91,   589.23
  358.36,   481.16,   714.14
   98.51,   224.81,   598.11
  101.01,   222.17,   722.79
  103.33,   219.81,   848.02
   98.89,   349.58,   600.65
  101.18,   347.32,   725.77
  103.65,   344.77,   850.57
   99.46,   474.76,   602.98
  101.95,   472.16,   727.94
  104.24,   469.65,   852.85
  223.47,   224.39,   595.48
  225.82,   221.82,   720.65
  228.32,   219.26,   845.56
  224.03,   349.62,   598.16
  226.33,   347.07,   722.99
  228.61,   344.26,   847.87
  224.15,   474.62,   600.67
  226.53,   471.95,   725.61
  229.15,   469.29,   850.61
  348.37,   224.03,   593.28
  350.69,   221.78,   717.95
  353.15,   219.30,   843.17
  348.80,   349.00,   595.88
  351.16,   346.78,   720.54
  353.69,   344.06,   845.54
  349.35,   474.15,   598.36
  351.73,   471.65,   723.42
  353.99,   469.19,   848.08
  101.84,   348.06,   100.25
  105.19,   349.35,   225.35
  108.73,   350.70,   350.50
  104.20,   473.22,    99.07
  107.53,   474.51,   223.92
  111.29,   475.85,   348.82
  106.54,   597.84,    97.71
  110.14,   599.29,   222.72
  113.77,   600.84,   347.73
  226.81,   345.80,    96.97
  230.06,   346.91,   221.98
  233.64,   348.40,   347.05
  229.29,   470.77,    95.56
  232.82,   472.00,   220.46
  236.08,   473.05,   345.35
  231.74,   595.59,    94.32
  235.00,   596.95,   219.02
  238.43,   598.16,   344.00
  351.59,   343.14,    93.64
  355.11,   344.49,   218.39
  358.55,   345.94,   343.30
  353.96,   468.21,    91.97
  357.48,   469.57,   217.17
  360.95,   470.88,   342.14
  356.54,   593.03,    90.64
  359.94,   594.30,   215.59
  363.59,   595.76,   340.61
   98.54,   348.87,   226.49
   95.46,   348.51,   351.55
   92.61,   348.06,   476.60
  100.73,   473.75,   227.07
   97.78,   473.30,   351.89
   95.04,   473.08,   476.96
  103.12,   598.61,   227.22
  100.15,   598.42,   352.09
   97.38,   598.09,   477.21
  223.20,   346.32,   229.38
  220.50,   346.24,   354.49
  217.88,   346.01,   479.25
  225.74,   471.58,   229.84
  222.70,   471.15,   354.89
  219.73,   470.81,   479.84
  227.63,   596.60,   230.20
  224.80,   596.05,   355.04
  221.94,   595.93,   480.22
  348.50,   344.25,   232.27
  345.52,   343.88,   357.34
  342.58,   343.80,   482.39
  350.85,   469.42,   232.81
  347.71,   469.20,   357.79
  344.69,   468.53,   482.56
  352.74,   594.13,   233.16
  349.98,   594.11,   357.82
  347.05,   593.77,   483.06
   99.92,   348.42,   351.26
  101.04,   350.02,   476.45
  102.85,   351.59,   601.43
   99.71,   473.64,   350.05
  101.05,   475.12,   474.71
