27, 125 pa2-debug-f-our-output2.txt
  230.09,   472.23,   726.93
  231.29,   470.81,   851.59
  349.20,   221.66,   597.25
  350.10,   219.70,   722.35
  350.79,   218.17,   847.11
  351.48,   346.81,   599.09
  352.52,   345.09,   724.11
  353.56,   342.91,   849.04
  354.19,   471.44,   600.69
  355.28,   469.74,   725.73
  356.03,   468.02,   850.65
  474.18,   219.20,   596.28
  474.76,   217.09,   721.11
  475.95,   215.56,   846.22
  476.72,   344.00,   598.11
  477.40,   342.12,   723.06
  478.48,   340.48,   848.15
  479.41,   469.11,   599.83
  480.38,   466.90,   724.70
  481.34,   465.65,   849.68
  223.97,   351.07,    98.56
  227.57,   351.03,   223.21
  230.85,   350.85,   348.46
  224.53,   476.27,    98.90
  227.79,   476.05,   223.81
  231.00,   475.75,   348.67
  224.54,   601.34,    99.05
  227.70,   601.26,   223.79
  231.14,   600.66,   348.81
  349.14,   350.73,    94.91
  352.29,   350.81,   220.17
  355.82,   350.46,   344.83
  349.24,   476.09,    95.19
  352.53,   475.73,   220.26
  356.22,   475.56,   345.26
  349.50,   600.96,    95.51
  352.99,   600.71,   220.69
  356.37,   600.66,   345.60
  474.08,   350.51,    91.73
  477.08,   350.34,   216.49
  480.67,   350.09,   341.43
  474.45,   476.04,    92.02
  477.67,   475.41,   216.82
  481.03,   475.11,   341.75
  474.52,   600.68,    92.33
  477.93,   600.59,   217.31
  481.25,   600.32,   342.03
  225.15,   348.82,   224.61
  224.63,   350.82,   349.57
  223.79,   352.26,   474.68
  223.88,   473.83,   222.78
  222.86,   475.49,   347.88
  222.03,   477.43,   472.66
  221.87,   598.77,   220.85
  221.15,   600.44,   345.94
  220.51,   602.40,   471.06
  350.19,   350.61,   225.37
  349.62,   352.13,   350.37
  348.69,   354.09,   475.11
  348.70,   475.41,   223.57
  348.10,   477.28,   348.51
  346.97,   479.23,   473.67
  347.05,   600.64,   221.55
  346.37,   602.11,   346.65
  345.69,   604.11,   471.49
  475.03,   352.30,   226.08
  474.44,   353.98,   351.01
  473.74,   355.83,   475.99
  473.55,   477.03,   224.36
  472.86,   479.03,   349.34
  472.24,   480.64,   474.23
  472.07,   602.21,   222.56
  471.21,   603.96,   347.43
  470.37,   605.51,   472.46
  225.54,   348.85,   350.27
  227.43,   349.15,   475.48
  228.87,   349.55,   600.50
  227.97,   473.81,   350.01
  229.27,   474.10,   475.05
  230.90,   474.31,   600.18
  229.65,   598.93,   350.02
  231.32,   599.22,   474.92
  233.00,   599.29,   599.80
  350.75,   346.89,   348.89
  352.16,   347.05,   473.91
  353.81,   347.24,   598.85
  352.58,   472.04,   348.46
  354.37,   472.33,   473.76
  355.71,   472.23,   598.66
  354.76,   596.95,   348.17
  356.31,   597.18,   473.27
  358.11,   597.31,   598.35
  475.55,   344.90,   347.40
  477.15,   344.96,   472.47
  478.92,   345.17,   597.08
  477.58,   469.86,   347.06
  479.14,   469.98,   471.95
  480.76,   470.10,   597.08
  479.74,   594.96,   346.88
  481.45,   595.00,   471.94
  482.92,   595.40,   596.80
  226.76,   351.52,   474.26
  224.73,   353.51,   599.22
  222.40,   355.06,   724.25
  225.65,   476.64,   472.38
  223.53,   478.25,   597.36
  221.25,   479.95,   722.47
  224.88,   601.85,   470.82
  222.34,   603.42,   595.57
  220.32,   605.25,   720.57
  351.82,   352.80,   476.54
  349.43,   354.36,   601.28
  347.22,   356.12,   726.38
  350.59,   477.96,   474.60
  348.71,   479.67,   599.63
  346.41,   481.40,   724.55
  349.83,   602.82,   473.04
  347.46,   604.51,   597.93
  345.39,   606.49,   723.06
  476.57,   353.94,   478.72
  474.35,   355.51,   603.61
  472.28,   357.14,   728.56
  475.61,   478.67,   476.69
  473.41,   480.61,   601.60
  471.26,   482.38,   726.58
  474.68,   603.59,   475.15
  472.52,   605.67,   600.20
  470.24,   607.10,   725.06
  225.75,   350.17,   600.00
  225.25,   348.37,   725.18
  224.78,   346.92,   849.81
  226.65,   475.23,   601.62
  225.84,   473.65,   726.91
  225.68,   471.63,   851.84
  227.02,   600.29,   603.41
  226.96,   598.58,   728.43
  226.48,   596.93,   853.48
  350.76,   349.61,   600.44
  350.18,   347.78,   725.53
  349.60,   345.74,   850.41
  351.37,   474.51,   602.04
  351.15,   472.64,   727.21
  350.57,   470.91,   852.06
  352.11,   599.55,   603.88
  351.98,   597.88,   729.07
  351.37,   595.59,   853.89
  475.47,   348.59,   600.77
  475.21,   347.07,   726.04
  475.02,   345.11,   850.76
  476.48,   473.62,   602.52
  476.17,   471.87,   727.52
  475.67,   470.54,   852.64
  477.03,   598.71,   604.31
  476.60,   596.66,   729.28
  476.40,   595.21,   854.45
  223.14,   474.53,   100.27
  226.22,   471.38,   225.00
  229.05,   468.16,   349.94
  219.88,   599.25,   103.23
  223.06,   596.24,   228.20
  225.86,   593.17,   353.15
  216.94,   724.18,   106.23
  219.64,   721.41,   231.30
  222.67,   718.02,   356.39
  347.97,   477.69,    97.05
  351.18,   474.74,   221.99
  354.01,   471.44,   347.13
  345.01,   602.56,   100.27
  347.83,   599.34,   225.12
  351.06,   596.35,   350.03
  341.65,   727.38,   103.17
  344.65,   724.33,   228.09
  347.69,   721.53,   353.22
  473.11,   480.99,    94.18
  475.96,   477.97,   219.22
  478.99,   474.59,   343.96
  469.57,   605.96,    97.29
  473.03,   602.64,   222.37
  475.90,   599.71,   347.16
  466.77,   730.87,   100.31
  469.67,   727.81,   225.34
  472.75,   724.53,   350.29
  223.48,   476.05,   223.24
  225.27,   476.25,   348.54
  227.50,   476.63,   473.19
  226.83,   600.95,   223.19
  229.07,   601.36,   347.93
  231.14,   601.31,   472.99
  230.52,   726.08,   222.83
  232.48,   725.95,   347.92
  234.67,   726.22,   472.75
  348.28,   472.57,   221.28
  350.53,   472.53,   346.23
  352.60,   473.05,   471.15
  351.67,   597.24,   221.01
  354.09,   597.59,   345.99
  356.14,   597.75,   470.70
  355.38,   722.28,   220.59
  357.42,   722.78,   345.49
  359.56,   722.61,   470.62
  473.01,   468.83,   218.87
  475.29,   468.86,   344.00
  477.44,   469.48,   468.83
  476.68,   594.05,   218.88
  478.64,   594.15,   343.70
  481.04,   594.37,   468.81
  480.00,   718.77,   218.60
  482.26,   719.02,   343.48
  484.51,   719.40,   468.43
  223.43,   474.88,   349.67
  220.01,   473.56,   474.81
  216.97,   472.17,   599.59
  226.96,   599.82,   351.44
  223.84,   598.72,   476.31
  220.30,   596.98,   601.14
  230.41,   724.67,   352.99
  227.25,   723.63,   477.70
  224.27,   721.92,   602.72
  348.31,   471.40,   352.83
  344.98,   469.79,   478.16
  341.91,   468.59,   602.90
  352.03,   596.34,   354.43
  348.40,   594.57,   479.51
  345.53,   593.46,   604.44
  355.61,   721.14,   355.96
  352.12,   719.83,   480.95
  349.07,   718.28,   605.76
  472.84,   467.30,   355.97
  469.80,   466.11,   481.32
  466.59,   464.59,   606.13
  476.49,   592.36,   357.85
  473.58,   591.08,   482.64
  470.15,   589.63,   607.75
  480.05,   717.33,   359.19
  476.92,   715.94,   484.16
  473.86,   714.54,   609.24
  226.34,   476.28,   473.71
  222.77,   479.34,   598.58
  219.14,   482.12,   723.26
  227.96,   601.38,   470.93
  224.25,   604.08,   595.95
  220.62,   606.75,   720.65
  229.07,   726.10,   467.80
  225.71,   729.17,   592.92
  222.20,   731.93,   717.84
  351.35,   474.81,   477.31
  347.57,   477.85,   601.96
  344.37,   480.77,   727.21
  352.88,   599.93,   474.26
  349.36,   602.79,   599.34
  345.79,   605.79,   724.23
  354.15,   725.03,   471.67
  350.80,   727.64,   596.37
  347.06,   730.56,   721.18
  476.12,   473.78,   481.00
  472.77,   476.62,   605.49
  469.30,   479.36,   730.70
  477.40,   598.68,   478.11
  474.27,   601.53,   602.72
  470.55,   603.93,   727.98
  478.80,   723.54,   475.26
  475.69,   726.34,   600.22
  471.76,   729.16,   725.07
  225.24,   476.96,   601.71
  223.97,   477.59,   726.84
  223.08,   478.83,   851.89
  225.42,   601.85,   601.21
  224.08,   602.50,   726.19
  223.06,   603.62,   851.00
  225.45,   726.72,   600.29
  224.31,   727.76,   725.00
  223.39,   728.70,   850.05
  350.15,   476.85,   603.08
  349.19,   477.47,   727.97
  348.02,   478.55,   853.11
  350.20,   601.82,   602.25
  349.18,   602.66,   727.13
  348.02,   603.12,   852.02
  350.38,   726.50,   601.05
  349.54,   727.46,   726.12
  348.36,   728.62,   851.22
  475.21,   476.39,   604.13
  474.15,   477.40,   729.12
  472.90,   478.72,   853.89
  475.28,   601.42,   603.18
  474.10,   602.34,   728.12
  473.16,   603.27,   853.12
  475.36,   726.65,   602.48
  474.52,   727.52,   727.49
  473.25,   728.38,   852.38
  226.34,   599.22,    99.71
  223.20,   602.04,   224.85
  219.79,   604.63,   349.50
  225.78,   724.57,    97.15
  222.73,   726.97,   221.89
  219.30,   729.62,   346.97
  225.23,   849.19,    94.65
  222.09,   851.96,   219.10
  218.51,   854.78,   344.31
  351.51,   599.88,   102.85
  347.90,   602.68,   227.89
  345.04,   605.22,   352.77
  350.68,   724.94,   100.26
  347.59,   727.78,   225.27
  344.32,   730.20,   350.00
  350.41,   850.15,    97.35
  347.23,   852.70,   222.33
  343.82,   855.36,   347.34
  476.45,   600.55,   106.41
  473.02,   603.30,   231.21
  469.69,   605.85,   356.34
  475.86,   725.76,   103.56
  472.36,   728.40,   228.44
  469.09,   731.05,   353.41
  475.08,   850.45,   101.16
  471.69,   853.18,   225.76
  468.55,   855.72,   350.86
  223.30,   601.56,   226.31
  219.93,   600.05,   351.39
  216.72,   598.92,   476.39
  219.93,   726.55,   227.44
  216.32,   725.13,   352.50
  213.15,   724.00,   477.28
  215.96,   851.41,   228.78
  212.57,   849.89,   353.92
  209.52,   848.73,   478.21
  348.30,   605.24,   229.60
  345.12,   603.68,   354.46
  341.83,   602.53,   479.39
  344.82,   729.89,   230.66
  341.36,   728.59,   355.48
  337.94,   727.59,   480.70
  341.05,   854.95,   231.78
  338.02,   853.68,   356.87
  334.30,   852.53,   481.63
  473.15,   608.92,   233.02
  469.92,   607.25,   358.17
  466.39,   606.28,   482.82
  469.66,   733.79,   234.09
  465.98,   732.28,   359.28
  462.87,   731.34,   483.89
  465.86,   858.48,   235.32
  462.29,   857.16,   360.46
  459.21,   855.92,   485.04
  224.42,   601.66,   350.30
  224.55,   600.03,   475.28
  224.69,   597.63,   600.33
  226.13,   726.63,   352.36
  226.51,   724.91,   477.44
  226.26,   722.83,   602.37
  227.71,   851.77,   354.52
  228.05,   849.72,   479.10
  227.92,   847.81,   604.38
  349.59,   600.09,   350.48
  349.67,   598.08,   475.34
  349.59,   596.17,   600.25
  351.45,   725.21,   352.39
  351.15,   722.99,   477.18
  351.21,   721.17,   602.38
  353.01,   850.14,   354.15
  352.84,   848.13,   479.27
  352.94,   846.29,   604.49
  474.67,   598.38,   350.12
  474.47,   596.33,   475.37
  474.58,   594.66,   600.15
  476.15,   723.47,   352.24
  476.03,   721.35,   477.31
  476.18,   719.56,   602.22
  477.65,   848.46,   354.45
  477.83,   846.27,   479.11
  477.97,   844.25,   604.03
  224.20,   598.36,   476.64
  222.15,   598.71,   601.50
  219.75,   599.12,   726.37
  225.60,   723.46,   476.00
  223.04,   723.54,   601.44
  220.95,   723.99,   726.13
  226.84,   848.21,   475.66
  224.35,   848.54,   600.96
  222.38,   849.10,   725.79
  349.34,   597.09,   478.78
  346.98,   597.56,   603.75
  344.65,   597.80,   728.74
  350.32,   721.93,   478.55
  348.34,   722.47,   603.24
  346.08,   722.92,   728.33
  351.81,   846.97,   478.05
  349.48,   847.34,   602.92
  347.47,   847.87,   728.14
  474.18,   595.77,   481.10
  471.98,   596.40,   605.83
  469.74,   596.50,   730.85
  475.49,   720.83,   480.71
  473.03,   721.12,   605.48
  470.79,   721.46,   730.70
  476.76,   845.88,   480.03
  474.50,   846.05,   605.37
  472.31,   846.63,   730.17
  223.22,   599.74,   599.35
  221.78,   599.07,   724.32
  220.53,   598.40,   849.05
  222.05,   725.01,   599.95
  220.49,   724.17,   724.85
  218.95,   723.15,   850.06
  220.72,   850.00,   600.94
  219.32,   848.97,   725.49
  217.56,   848.25,   850.68
  348.22,   601.25,   600.63
  346.88,   600.42,   725.55
  345.28,   599.19,   850.81
  347.11,   726.03,   601.59
  345.80,   725.48,   726.12
  344.19,   724.39,   851.25
  345.91,   851.29,   602.10
  344.21,   850.19,   727.07
  343.07,   849.52,   852.04
  473.38,   602.49,   602.18
  471.90,   601.64,   726.95
  470.46,   600.82,   852.06
  472.00,   727.53,   603.07
  470.33,   726.44,   728.05
  469.05,   725.81,   853.00
  470.66,   852.32,   603.69
  469.18,   851.54,   728.69
  467.63,   850.66,   853.62
  351.16,   100.62,    98.91
  349.78,   101.04,   223.82
  348.61,   101.51,   348.54
  351.33,   225.70,    98.18
  350.38,   226.34,   223.28
  348.87,   226.53,   348.13
  351.77,   350.82,    97.91
  350.57,   351.05,   222.99
  349.44,   351.83,   347.97
  475.92,   100.41,    99.78
  474.68,   101.04,   225.08
  473.77,   101.08,   350.13
  476.29,   225.36,    99.60
  475.21,   225.91,   224.69
  474.13,   226.22,   349.62
  477.03,   350.49,    99.05
  475.60,   350.72,   223.95
  474.56,   351.27,   349.11
  600.97,   100.02,   101.31
  599.90,   100.46,   226.27
  598.53,   100.84,   351.02
  601.51,   224.95,   100.80
  600.39,   225.39,   225.61
  598.83,   225.97,   350.81
  601.91,   349.86,   100.18
  600.77,   350.60,   225.48
  599.22,   350.97,   350.23
  348.94,    99.90,   225.08
  351.86,   103.34,   349.87
  354.46,   106.59,   474.77
  349.06,   224.91,   221.66
  351.71,   228.36,   346.53
  354.37,   231.85,   471.71
  349.17,   349.87,   218.28
  351.55,   353.29,   343.31
  354.62,   356.52,   468.28
  473.91,   100.15,   222.20
  476.63,   103.28,   347.13
  479.45,   106.73,   472.09
  473.87,   224.70,   219.13
  476.76,   228.15,   343.79
  479.46,   231.67,   468.69
  473.80,   349.95,   215.84
  476.83,   353.28,   340.54
  479.58,   356.50,   465.45
  598.78,    99.74,   219.47
  601.56,   103.12,   344.41
  604.37,   106.63,   469.27
  598.92,   224.81,   216.22
  601.45,   227.96,   341.22
  604.40,   231.55,   465.97
  598.72,   349.75,   213.07
  601.68,   353.09,   337.75
  604.43,   356.47,   462.91
  348.24,   100.77,   349.71
  350.55,    98.83,   474.76
  352.90,    96.75,   599.63
  350.27,   225.46,   351.63
  352.61,   223.44,   476.68
  355.27,   221.65,   601.56
  352.63,   350.44,   353.43
  355.01,   348.50,   478.64
  357.50,   346.60,   603.55
  472.87,    98.25,   347.37
  475.33,    96.31,   472.18
  478.03,    94.21,   597.37
  475.43,   223.09,   349.29
  477.75,   221.20,   474.34
  480.03,   219.51,   599.29
  477.68,   348.00,   351.31
  480.03,   346.17,   476.18
  482.46,   344.45,   601.17
  597.91,    95.76,   344.98
  600.51,    94.18,   469.78
  602.82,    92.17,   594.94
  600.20,   221.05,   346.57
  602.71,   218.87,   471.84
  605.07,   217.22,   596.65
  602.77,   345.89,   348.65
  605.08,   343.82,   473.54
  607.34,   342.02,   598.64
  351.76,    97.86,   475.56
  353.45,    98.27,   600.26
  354.50,    98.47,   725.52
  353.06,   222.81,   475.02
  354.28,   223.14,   600.10
  355.56,   223.51,   725.12
  354.15,   348.03,   474.69
  355.39,   348.45,   599.59
  356.83,   348.81,   724.66
  476.84,    96.95,   474.31
  478.34,    97.40,   599.05
  479.57,    97.74,   724.14
  478.10,   221.89,   473.66
  479.15,   222.27,   598.91
  480.84,   222.70,   723.64
  479.18,   346.76,   473.56
  480.18,   347.27,   598.36
  481.65,   347.44,   723.38
  601.90,    96.00,   472.69
  603.08,    96.09,   597.68
  604.60,    96.60,   722.95
  602.94,   220.73,   472.28
  604.16,   221.05,   597.49
  605.42,   221.81,   722.33
  604.02,   346.07,   472.14
  605.22,   346.36,   597.16
  606.79,   346.51,   721.94
  350.50,    98.11,   600.30
  348.44,    99.23,   725.36
  346.17,   100.28,   850.43
  350.32,   222.95,   599.23
  348.32,   224.35,   724.36
  346.32,   225.19,   849.07
  350.41,   348.20,   597.94
  348.43,   349.07,   722.97
  346.37,   350.08,   848.23
  475.40,    98.14,   602.42
  473.19,    99.24,   727.40
  471.38,   100.18,   852.47
  475.32,   222.97,   601.37
  473.35,   224.26,   726.48
  471.45,   225.31,   851.28
  475.58,   347.91,   600.00
  473.24,   349.20,   725.27
  471.35,   350.03,   850.22
  600.34,    97.79,   604.40
  598.44,    99.08,   729.35
  596.04,   100.08,   854.72
  600.44,   222.95,   603.54
  598.22,   224.01,   728.36
  596.14,   225.36,   853.25
  600.46,   348.04,   602.33
  598.56,   349.24,   727.40
  596.08,   350.03,   852.21
  351.30,   225.10,   101.34
  351.96,   223.98,   226.15
  353.03,   222.74,   351.28
  348.90,   349.96,   102.37
  349.69,   348.99,   227.10
  350.52,   347.75,   352.23
  346.53,   475.03,   103.22
  347.21,   473.96,   228.21
  348.37,   472.70,   353.51
  476.29,   227.58,   100.29
  477.21,   226.43,   225.40
  478.17,   225.35,   350.21
  473.63,   352.15,   101.22
  474.65,   351.36,   226.21
  475.81,   350.04,   351.18
  471.52,   477.53,   102.66
  472.11,   476.41,   227.30
  473.23,   475.14,   352.48
  601.31,   229.85,    99.43
  602.24,   228.85,   224.25
  602.86,   227.68,   349.44
  598.61,   354.67,   100.26
  599.62,   353.60,   225.54
  600.48,   352.48,   350.38
  596.44,   479.89,   101.43
  597.33,   478.56,   226.49
  598.29,   477.54,   351.57
  348.31,   225.05,   224.54
  347.09,   227.12,   349.62
  345.93,   229.01,   474.51
  352.02,   349.96,   222.68
  350.90,   352.31,   347.75
  349.35,   354.02,   472.83
  355.43,   474.86,   220.70
  354.28,   477.18,   345.56
  352.96,   478.94,   470.92
  473.42,   221.61,   225.75
  472.11,   223.59,   351.06
  470.72,   225.62,   476.06
  476.88,   346.58,   224.14
  475.89,   348.56,   349.06
  474.32,   350.35,   473.76
  480.32,   471.66,   221.89
  479.47,   473.51,   346.83
  477.99,   475.45,   472.23
  598.32,   217.88,   227.03
  597.17,   219.86,   352.13
  595.63,   222.07,   477.32
  601.69,   342.99,   225.51
  600.80,   344.81,   350.47
  599.26,   346.98,   475.39
  605.80,   467.69,   223.16
  604.30,   469.72,   348.42
  603.22,   471.87,   473.39
  348.72,   223.67,   350.14
  348.36,   221.98,   475.45
  348.58,   220.44,   600.15
  347.40,   348.65,   352.05
  347.29,   347.17,   476.94
  347.36,   345.42,   601.70
  346.10,   473.46,   353.29
  346.25,   471.85,   478.68
  345.88,   470.47,   603.46
  473.64,   225.00,   350.50
  473.38,   223.31,   475.50
  473.51,   221.79,   600.38
  472.32,   349.70,   352.00
  472.16,   348.02,   476.96
  472.33,   346.73,   601.89
  471.03,   474.93,   353.74
  470.87,   473.39,   478.78
  471.15,   471.56,   603.36
  598.66,   226.17,   350.34
  598.61,   224.23,   475.43
  598.39,   222.90,   600.47
  597.45,   351.04,   352.09
  597.38,   349.50,   476.94
  597.21,   347.89,   602.06
  596.33,   475.91,   353.55
  595.95,   474.36,   478.47
  596.16,   472.83,   603.52
  351.30,   226.04,   474.20
  354.54,   222.54,   598.88
  357.69,   219.07,   723.78
  350.32,   351.16,   477.90
  353.41,   347.65,   602.55
  356.58,   343.73,   727.64
  349.15,   475.98,   481.35
  352.17,   472.60,   606.35
  355.51,   468.79,   731.19
  476.56,   227.36,   471.02
  479.39,   223.67,   596.05
  482.70,   220.27,   720.69
  475.17,   352.19,   474.80
  478.42,   348.84,   599.78
  481.47,   345.08,   724.55
  473.99,   477.51,   478.52
  477.17,   473.66,   603.41
  480.16,   470.12,   727.92
  601.47,   228.46,   467.93
  604.57,   225.07,   592.94
  607.25,   221.36,   717.66
  600.21,   353.77,   471.62
  603.22,   350.10,   596.71
  606.19,   346.23,   721.63
  599.16,   478.48,   475.25
  602.26,   474.99,   600.25
  605.16,   471.38,   725.32
  348.35,   225.07,   600.72
  347.24,   224.58,   725.85
  346.49,   224.29,   850.78
  350.60,   350.32,   601.35
  349.74,   349.88,   726.37
  348.85,   349.29,   851.39
  352.63,   475.17,   601.99
  352.03,   474.64,   726.78
  350.89,   474.21,   851.64
  473.18,   222.95,   601.49
  472.38,   222.33,   726.60
  471.37,   222.01,   851.46
  475.52,   348.05,   602.12
  474.70,   347.36,   727.27
  473.80,   346.88,   851.90
  477.74,   472.75,   602.55
  476.89,   472.49,   727.42
  476.27,   472.02,   852.61
  598.23,   220.69,   602.36
  597.28,   220.14,   727.33
  596.44,   219.61,   852.52
  600.54,   345.57,   602.95
  599.69,   345.10,   727.87
  598.79,   344.74,   852.91
  602.52,   470.73,   603.45
  601.93,   470.22,   728.69
  600.96,   469.53,   853.35
  350.00,   350.29,    98.36
  348.24,   349.70,   223.17
  346.37,   349.29,   348.23
  352.05,   475.43,    98.92
  350.63,   474.68,   223.87
  348.89,   474.35,   348.77
  354.63,   600.22,    99.54
  352.89,   599.88,   224.22
  351.02,   599.30,   349.13
  474.95,   348.06,   100.04
  473.40,   347.62,   225.06
  471.48,   347.14,   349.84
  477.29,   473.23,   100.50
  475.55,   472.60,   225.75
  473.47,   471.99,   350.47
  479.41,   598.11,   101.30
  477.67,   597.48,   226.13
  475.88,   597.01,   351.32
  600.11,   345.99,   101.88
  598.25,   345.33,   226.81
  596.33,   344.82,   352.02
  602.28,   470.89,   102.51
  600.48,   470.28,   227.50
  598.69,   469.81,   352.16
  604.29,   595.71,   102.88
  602.50,   595.41,   228.20
  600.92,   595.01,   353.01
  348.51,   350.69,   226.62
  350.07,   351.68,   351.56
  351.96,   352.07,   476.51
  351.17,   475.81,   225.99
  352.91,   476.43,   350.89
  354.71,   477.09,   475.76
  354.01,   600.70,   225.39
  355.53,   601.52,   350.02
  357.27,   601.99,   475.19
  473.65,   348.04,   224.94
  475.16,   348.80,   349.94
  476.92,   349.44,   474.86
  476.18,   473.01,   224.38
  477.99,   473.57,   349.06
  479.45,   474.31,   474.17
  478.86,   598.23,   223.67
  480.65,   598.90,   348.79
  482.15,   599.48,   473.80
  598.66,   345.34,   223.31
  600.01,   346.13,   348.52
  601.58,   346.70,   473.50
  601.27,   470.24,   222.86
  602.96,   470.92,   347.64
  604.53,   471.76,   472.82
  603.87,   595.46,   222.20
  605.70,   595.92,   346.92
  607.18,   596.73,   472.07
  350.41,   350.98,   348.79
  353.04,   352.42,   473.99
  355.70,   353.65,   598.69
  348.27,   476.00,   347.54
  350.45,   477.02,   472.72
  353.15,   478.62,   597.51
  345.46,   600.97,   346.52
  348.06,   602.12,   471.54
  350.55,   603.43,   596.56
  475.38,   353.34,   346.51
  477.99,   354.84,   471.53
  480.54,   355.86,   596.45
  472.77,   478.27,   344.93
  475.40,   479.50,   470.25
  478.10,   481.10,   595.04
  470.37,   603.28,   344.03
  472.85,   604.54,   469.01
  475.69,   605.99,   593.73
  600.59,   355.80,   343.90
  602.90,   357.07,   468.94
  605.52,   358.60,   593.72
  597.86,   480.74,   342.44
  600.59,   482.32,   467.46
  603.07,   483.59,   592.47
  595.20,   606.04,   341.28
  597.83,   607.15,   466.10
  600.65,   608.28,   591.47
  350.87,   347.99,   477.04
  352.92,   345.03,   601.81
  354.72,   342.07,   726.83
  351.34,   473.20,   480.17
  352.91,   470.05,   604.93
  355.04,   466.87,   729.79
  351.26,   597.97,   482.94
  353.11,   594.94,   607.86
  355.14,   592.09,   733.08
  475.97,   347.92,   474.92
  477.85,   344.68,   599.92
  479.69,   341.62,   724.75
  476.04,   473.09,   478.04
  478.07,   469.62,   603.12
  480.00,   466.76,   727.79
  476.28,   597.67,   481.21
  478.07,   594.76,   606.10
  479.86,   591.47,   731.18
  600.83,   347.72,   473.21
  602.70,   344.64,   598.16
  604.55,   341.52,   723.17
  601.36,   472.75,   476.09
  602.89,   469.50,   601.29
  605.01,   466.56,   726.25
  601.20,   597.77,   479.35
  603.27,   594.79,   604.16
  605.18,   591.69,   729.05
  348.68,   350.15,   600.35
  347.82,   351.77,   725.45
  347.23,   353.15,   850.19
  347.39,   475.12,   599.06
  346.83,   476.86,   724.05
  345.69,   478.16,   849.01
  346.08,   600.28,   597.32
  345.54,   601.72,   722.48
  344.86,   603.06,   847.43
  473.53,   351.24,   600.98
  472.92,   352.72,   725.92
  472.23,   354.16,   850.89
  472.59,   476.45,   599.61
  471.58,   477.67,   724.30
  471.14,   479.61,   849.33
  471.27,   601.54,   597.98
  470.36,   602.51,   723.15
  470.13,   604.29,   847.89
  598.76,   352.76,   601.67
  597.96,   354.01,   726.77
  597.35,   355.21,   851.74
  597.35,   477.43,   600.10
  596.59,   478.98,   725.22
  596.01,   480.28,   850.20
  596.12,   602.78,   598.97
  595.84,   603.85,   723.89
  594.74,   605.39,   848.83
  350.43,   474.76,   100.10
  351.52,   476.05,   225.10
  352.21,   477.51,   350.14
  350.42,   599.85,    98.94
  351.37,   600.97,   224.03
  352.12,   602.28,   348.87
  350.60,   724.98,    97.73
  351.36,   726.06,   222.95
  352.44,   727.35,   347.75
  475.77,   474.80,    99.55
  476.30,   475.91,   224.48
  477.19,   477.28,   349.31
  475.61,   599.96,    98.25
  476.44,   601.13,   223.18
  477.18,   602.44,   348.02
  475.52,   725.05,    97.13
  476.28,   725.92,   221.92
  477.19,   727.50,   347.21
  600.55,   474.75,    98.41
  601.40,   476.04,   223.52
  602.32,   477.41,   348.40
  600.34,   599.73,    97.05
  601.26,   601.28,   222.57
  602.22,   602.28,   347.27
  600.44,   725.00,    96.23
  601.48,   725.89,   221.02
  602.26,   727.47,   345.90
  351.01,   473.21,   224.14
  349.72,   476.97,   349.02
  347.98,   480.06,   474.04
  349.92,   598.35,   220.67
  348.57,   601.62,   345.74
  346.91,   605.11,   470.76
  348.48,   723.19,   217.46
  347.34,   726.54,   342.43
  345.67,   729.78,   467.50
  475.98,   474.79,   225.72
  474.74,   477.86,   350.84
  472.88,   481.55,   475.76
  474.77,   599.90,   222.42
  473.20,   602.89,   347.54
  471.63,   606.49,   472.38
  473.50,   724.61,   218.94
  471.88,   728.16,   344.07
  470.36,   731.50,   468.76
  601.36,   476.06,   227.03
  599.56,   479.50,   351.92
  598.17,   482.77,   477.11
  599.84,   600.89,   223.71
  598.27,   604.34,   348.77
  596.82,   607.86,   473.58
  598.56,   725.86,   220.35
  596.96,   729.39,   345.31
  595.56,   732.50,   470.29
  351.87,   474.87,   349.40
  352.56,   478.49,   474.17
  353.91,   482.28,   599.12
  354.23,   599.95,   345.70
  355.28,   603.27,   470.59
  356.33,   607.29,   595.39
  356.84,   724.88,   341.80
  357.96,   728.25,   466.85
  359.08,   732.25,   592.02
  476.49,   472.21,   348.22
  477.78,   476.02,   473.42
  478.92,   479.63,   598.43
  479.29,   597.21,   344.60
  480.18,   600.70,   469.58
  481.25,   604.56,   594.45
  481.50,   722.35,   341.27
  482.57,   725.76,   465.96
  483.75,   729.55,   590.80
  601.75,   469.74,   347.34
  602.58,   473.49,   472.55
  603.56,   476.98,   597.26
  604.33,   594.53,   343.80
  605.35,   598.42,   468.85
  606.37,   602.04,   593.75
  606.89,   719.61,   339.95
  607.91,   723.23,   465.08
  608.97,   726.90,   590.02
  348.94,   474.12,   476.25
  346.82,   472.45,   601.38
  344.19,   470.83,   726.26
  349.09,   598.87,   478.05
  346.75,   597.16,   602.88
  344.68,   595.61,   727.99
  349.65,   723.94,   479.67
  347.12,   722.27,   604.72
  344.64,   720.58,   729.62
  473.92,   473.76,   478.67
  471.68,   471.89,   603.56
  469.04,   470.29,   728.58
  473.99,   598.61,   480.27
  471.99,   597.19,   605.34
  469.42,   595.13,   730.39
  474.61,   723.82,   481.89
  472.25,   721.95,   607.02
  469.66,   720.03,   732.08
  598.96,   473.71,   481.12
  596.73,   471.58,   606.16
