27, 125 pa2-debug-b-our-output2.txt
  228.01,   349.21,   728.09
  230.08,   347.93,   852.95
  224.24,   475.14,   603.56
  226.69,   474.05,   728.14
  229.99,   473.53,   853.62
  351.26,   225.48,   599.29
  353.29,   225.00,   724.77
  356.54,   224.17,   849.00
  349.95,   350.58,   599.97
  353.16,   349.75,   724.97
  355.69,   349.73,   849.85
  349.64,   476.35,   601.10
  351.87,   475.41,   725.62
  354.67,   474.05,   850.78
  476.50,   226.97,   596.25
  478.83,   225.74,   722.26
  481.39,   225.17,   847.22
  475.68,   351.84,   597.28
  477.86,   351.26,   722.22
  480.03,   350.06,   847.16
  474.12,   476.82,   598.67
  476.79,   476.22,   723.58
  479.17,   474.89,   847.78
  225.95,   351.91,   100.43
  226.72,   354.38,   225.89
  228.43,   358.02,   350.40
  222.73,   476.40,    97.75
  224.02,   479.91,   222.74
  224.78,   483.24,   347.06
  218.91,   601.47,    94.97
  219.83,   604.67,   219.08
  220.59,   608.07,   344.57
  351.47,   355.03,    99.70
  352.46,   358.25,   224.65
  353.59,   361.77,   349.81
  347.25,   479.87,    96.29
  348.16,   483.48,   221.76
  349.13,   486.21,   345.91
  343.43,   604.74,    92.87
  344.75,   608.04,   218.02
  345.49,   611.48,   342.85
  475.56,   359.38,    98.04
  477.43,   361.79,   222.96
  477.78,   365.32,   348.16
  472.04,   483.62,    95.14
  473.63,   487.12,   220.56
  474.34,   490.47,   344.90
  468.46,   609.04,    92.17
  469.87,   611.79,   217.31
  470.85,   614.99,   341.62
  223.93,   347.82,   224.60
  225.99,   345.61,   350.23
  228.41,   342.70,   475.25
  227.67,   472.77,   227.40
  229.18,   470.67,   351.99
  231.64,   467.98,   477.40
  231.37,   597.77,   229.95
  233.48,   594.89,   354.55
  235.54,   592.79,   480.09
  348.93,   344.94,   222.78
  350.65,   342.33,   348.30
  353.33,   339.75,   473.15
  352.72,   469.59,   225.69
  354.07,   466.89,   350.59
  356.48,   464.77,   475.36
  355.66,   594.18,   227.77
  357.61,   592.11,   352.25
  359.70,   589.33,   477.77
  473.73,   340.95,   220.71
  476.17,   338.72,   345.28
  478.28,   335.63,   470.39
  477.86,   466.26,   223.05
  479.18,   463.43,   347.90
  481.05,   461.22,   473.61
  481.34,   590.77,   225.61
  482.75,   587.99,   351.05
  485.06,   585.48,   475.70
  225.91,   350.03,   352.21
  227.28,   347.35,   476.50
  229.10,   344.06,   602.05
  228.82,   475.43,   354.78
  230.95,   472.46,   479.52
  233.31,   469.07,   604.48
  232.88,   600.19,   357.72
  234.62,   597.19,   482.33
  236.32,   594.56,   607.78
  350.58,   346.40,   349.41
  352.11,   344.10,   474.45
  354.28,   340.54,   599.95
  354.63,   471.44,   352.70
  355.93,   468.27,   478.22
  358.22,   465.52,   602.89
  357.71,   596.95,   355.15
  360.02,   593.75,   480.55
  361.59,   590.88,   605.67
  475.06,   342.96,   348.10
  477.64,   340.26,   473.40
  478.84,   336.98,   598.02
  479.11,   467.61,   350.77
  480.82,   465.19,   475.93
  482.91,   462.11,   600.86
  483.26,   592.94,   354.28
  484.99,   589.66,   478.87
  486.57,   587.36,   603.74
  225.12,   349.15,   475.13
  221.37,   346.41,   600.20
  218.42,   343.42,   724.94
  221.79,   473.93,   477.65
  218.34,   470.88,   602.51
  214.63,   468.55,   727.85
  218.31,   598.43,   480.31
  215.00,   596.15,   605.73
  211.68,   593.67,   730.35
  349.71,   352.96,   478.69
  346.74,   349.80,   603.98
  342.90,   347.21,   728.16
  346.97,   477.22,   481.32
  342.88,   474.46,   605.99
  339.79,   472.49,   731.38
  343.16,   601.97,   483.93
  339.33,   599.76,   609.13
  336.54,   596.68,   733.87
  474.72,   356.26,   481.93
  472.02,   353.63,   606.73
  467.81,   350.43,   732.48
  471.23,   480.56,   485.08
  468.28,   477.89,   609.53
  464.27,   475.54,   734.75
  467.92,   605.59,   487.32
  464.90,   602.86,   612.40
  461.40,   601.08,   737.22
  227.22,   351.00,   598.70
  227.79,   350.22,   723.54
  229.09,   350.53,   848.64
  224.82,   475.43,   598.78
  225.56,   475.03,   723.76
  226.53,   475.30,   848.78
  221.99,   600.92,   598.55
  223.58,   600.23,   723.31
  224.20,   600.09,   848.58
  352.09,   352.83,   597.63
  353.31,   352.39,   722.99
  353.38,   352.41,   847.27
  348.98,   478.38,   597.50
  350.38,   477.55,   722.91
  351.61,   477.91,   847.15
  346.76,   603.18,   597.71
  347.61,   602.61,   722.58
  349.12,   602.78,   848.22
  477.24,   355.96,   596.86
  477.96,   355.44,   721.41
  478.82,   354.88,   846.26
  474.40,   480.48,   596.42
  475.47,   480.64,   721.94
  476.37,   480.18,   846.77
  471.71,   604.90,   597.12
  472.63,   604.88,   721.51
  474.54,   605.56,   847.05
  224.93,   477.22,    99.03
  221.77,   475.92,   223.71
  219.75,   474.27,   349.38
  224.71,   602.22,   100.63
  222.49,   600.73,   225.51
  220.44,   599.58,   350.74
  225.29,   727.26,   102.03
  222.74,   725.71,   226.67
  220.00,   724.71,   352.13
  350.09,   476.83,   102.11
  347.06,   474.81,   227.06
  344.25,   473.74,   352.01
  350.19,   601.11,   102.70
  347.21,   599.86,   228.33
  344.85,   598.58,   352.54
  350.27,   726.58,   104.62
  347.84,   725.26,   228.91
  345.58,   723.41,   354.37
  474.78,   476.53,   104.05
  472.23,   475.12,   229.01
  469.39,   473.41,   353.97
  475.24,   600.85,   105.92
  472.74,   599.77,   230.79
  470.31,   598.07,   355.29
  475.67,   725.99,   107.09
  472.64,   724.87,   232.21
  470.71,   723.77,   356.80
  225.77,   475.63,   225.01
  223.32,   479.81,   349.29
  220.26,   482.31,   474.34
  224.71,   600.86,   221.24
  221.85,   603.86,   346.01
  218.01,   607.63,   471.12
  223.17,   725.71,   218.16
  220.31,   729.64,   342.73
  217.00,   732.41,   467.86
  350.83,   477.88,   227.68
  347.91,   480.67,   352.40
  345.11,   484.30,   477.59
  349.76,   602.51,   224.79
  346.36,   606.01,   349.41
  343.14,   608.97,   474.57
  348.23,   727.70,   220.82
  344.98,   731.13,   345.51
  342.30,   734.04,   471.08
  476.28,   479.56,   230.87
  473.06,   482.84,   356.29
  469.39,   486.20,   480.61
  474.15,   604.43,   227.76
  471.93,   607.80,   352.46
  468.53,   610.78,   477.69
  472.68,   729.30,   224.16
  469.79,   731.94,   348.78
  466.68,   735.73,   474.17
  225.87,   474.54,   350.59
  224.62,   477.40,   475.85
  222.59,   480.57,   600.65
  224.76,   598.50,   347.81
  222.98,   601.93,   472.48
  220.95,   604.68,   597.64
  223.34,   723.77,   344.53
  221.51,   727.12,   469.72
  220.51,   730.46,   594.69
  351.14,   475.73,   352.41
  349.17,   478.60,   476.70
  347.44,   481.85,   601.95
  349.69,   600.82,   349.28
  347.82,   602.98,   473.76
  346.87,   606.20,   599.14
  348.88,   725.20,   345.65
  346.64,   727.89,   470.98
  345.29,   730.86,   596.18
  475.58,   476.41,   353.96
  474.66,   479.61,   478.39
  472.19,   482.72,   603.53
  474.85,   601.96,   350.78
  472.80,   604.62,   475.36
  471.27,   607.67,   600.82
  473.84,   726.01,   347.90
  472.02,   729.24,   472.46
  469.81,   732.60,   598.05
  224.47,   473.37,   475.10
  225.71,   472.69,   599.73
  228.41,   471.27,   724.53
  223.88,   598.74,   475.79
  225.58,   597.82,   601.04
  227.20,   596.50,   725.46
  223.25,   723.14,   476.54
  225.32,   722.63,   601.37
  226.86,   721.32,   726.25
  349.24,   473.25,   472.63
  351.14,   472.40,   598.08
  353.34,   471.32,   723.05
  348.82,   599.05,   473.47
  350.45,   597.35,   599.06
  352.75,   596.91,   723.64
  348.81,   723.89,   475.17
  350.84,   723.04,   599.66
  352.16,   721.42,   724.66
  473.91,   473.58,   471.05
  476.22,   472.52,   595.85
  477.44,   471.62,   721.48
  474.35,   599.00,   471.74
  475.92,   598.17,   597.40
  477.23,   596.95,   721.91
  473.31,   723.34,   472.87
  474.96,   722.48,   597.73
  477.28,   721.84,   722.98
  225.22,   475.87,   600.69
  224.42,   475.19,   725.79
  223.32,   475.02,   849.98
  222.18,   600.53,   600.61
  220.81,   600.27,   726.29
  219.67,   600.04,   851.37
  219.18,   725.65,   601.44
  218.35,   724.81,   726.92
  216.90,   724.94,   851.62
  350.24,   478.11,   601.14
  349.13,   477.70,   726.61
  348.20,   477.78,   851.54
  346.59,   603.61,   602.20
  345.89,   603.22,   726.85
  344.71,   602.52,   851.95
  343.67,   728.14,   602.89
  343.05,   727.42,   727.74
  342.59,   727.01,   852.67
  474.24,   481.42,   602.06
  473.34,   480.47,   727.23
  472.61,   480.69,   852.22
  471.55,   606.40,   603.02
  471.09,   605.29,   728.36
  469.91,   605.20,   852.68
  469.12,   730.79,   603.80
  468.46,   730.29,   728.52
  467.02,   730.71,   853.02
  226.42,   600.83,   101.05
  227.26,   603.50,   226.64
  227.20,   606.57,   351.38
  226.56,   725.59,    98.60
  227.19,   728.91,   223.71
  227.96,   731.30,   348.19
  227.14,   851.12,    95.80
  226.66,   853.77,   220.38
  227.49,   856.89,   345.21
  351.94,   601.37,   100.52
  351.72,   603.49,   225.83
  352.27,   606.45,   350.30
  351.65,   725.91,    97.61
  352.18,   728.99,   223.04
  352.73,   731.16,   347.54
  351.80,   851.04,    95.34
  352.01,   853.85,   220.76
  352.50,   856.58,   344.78
  476.34,   600.76,   100.36
  476.85,   604.14,   225.05
  477.57,   606.15,   350.16
  476.43,   725.88,    97.38
  477.09,   728.68,   221.91
  477.58,   731.08,   347.78
  477.06,   850.59,    94.52
  477.46,   853.65,   219.55
  477.48,   856.36,   344.59
  224.12,   600.15,   224.01
  224.50,   602.50,   349.38
  224.55,   604.19,   474.54
  225.85,   725.70,   222.42
  225.39,   727.50,   347.17
  226.19,   728.98,   472.86
  226.58,   850.64,   220.80
  226.95,   852.47,   345.59
  226.57,   853.62,   470.87
  349.07,   599.38,   223.68
  349.79,   600.79,   349.33
  349.40,   602.82,   474.39
  350.78,   724.43,   222.58
  350.97,   726.48,   347.32
  350.88,   727.48,   472.33
  351.54,   849.56,   220.59
  351.47,   850.67,   345.44
  352.36,   852.81,   470.30
  474.19,   597.96,   224.17
  474.14,   600.00,   349.54
  474.39,   602.20,   474.10
  475.50,   723.29,   222.55
  475.64,   724.89,   347.55
  476.19,   726.99,   472.63
  476.97,   848.46,   220.24
  477.24,   850.43,   345.27
  476.76,   851.61,   470.44
  223.71,   598.18,   351.52
  222.96,   596.67,   477.30
  222.71,   595.52,   602.02
  224.84,   723.78,   352.89
  224.51,   721.62,   478.38
  224.49,   720.63,   603.47
  226.40,   847.78,   354.67
  226.25,   847.47,   479.51
  226.55,   845.52,   604.29
  348.83,   596.49,   352.51
  348.14,   595.81,   476.65
  348.19,   594.37,   602.38
  349.49,   721.48,   353.71
  349.29,   720.84,   478.79
  349.86,   719.27,   603.19
  351.51,   846.39,   354.37
  351.24,   845.53,   479.86
  351.55,   844.14,   604.53
  473.80,   595.37,   352.40
  473.27,   594.12,   477.40
  473.21,   592.49,   602.20
  474.58,   719.96,   353.83
  474.69,   718.57,   478.77
  474.68,   717.19,   603.63
  476.31,   845.08,   354.72
  476.10,   844.29,   480.03
  476.16,   842.86,   604.73
  223.55,   602.18,   474.53
  223.26,   602.64,   599.18
  221.91,   603.48,   724.44
  220.64,   726.92,   473.57
  220.44,   727.76,   598.29
  219.67,   728.65,   723.66
  218.07,   852.08,   472.19
  217.85,   852.69,   597.58
  217.18,   853.47,   722.77
  348.18,   604.68,   474.92
  347.73,   605.09,   600.02
  347.79,   606.36,   724.61
  346.11,   729.56,   473.78
  345.62,   730.59,   598.99
  344.98,   731.75,   723.94
  343.29,   854.20,   473.33
  343.41,   854.94,   597.49
  342.67,   856.17,   722.89
  473.57,   606.43,   475.72
  472.57,   607.81,   600.67
  472.11,   609.04,   725.79
  470.47,   732.16,   474.09
  470.42,   732.83,   598.95
  469.41,   733.71,   723.86
  468.00,   857.02,   473.35
  467.48,   857.99,   598.50
  466.85,   859.20,   723.37
  226.34,   599.56,   598.93
  226.30,   597.89,   723.86
  226.61,   595.74,   848.92
  226.64,   724.94,   600.30
  227.24,   723.06,   725.56
  227.80,   721.02,   850.69
  227.65,   849.71,   602.79
  227.86,   848.01,   727.52
  228.08,   845.92,   852.54
  350.60,   598.71,   597.94
  351.53,   596.69,   723.28
  351.84,   595.20,   848.22
  351.75,   724.28,   600.27
  352.66,   722.07,   725.40
  352.48,   720.43,   849.73
  352.47,   848.77,   602.40
  352.50,   846.90,   726.99
  353.29,   845.11,   852.07
  475.82,   597.77,   597.88
  476.40,   595.83,   722.60
  476.68,   594.38,   848.02
  476.60,   723.18,   599.66
  476.59,   721.24,   725.10
  477.96,   719.64,   849.68
  477.75,   848.29,   601.52
  478.41,   846.25,   726.72
  478.27,   843.78,   851.90
  350.57,   101.39,    98.78
  347.92,    98.97,   223.61
  345.77,    96.42,   348.53
  348.83,   226.82,   101.44
  346.73,   224.60,   225.97
  344.08,   221.11,   351.17
  347.57,   351.31,   103.96
  345.14,   348.90,   228.82
  342.91,   346.49,   353.80
  475.25,   103.47,   101.22
  472.93,   100.99,   226.06
  470.66,    98.24,   351.36
  473.64,   228.81,   103.46
  471.22,   225.97,   228.05
  469.08,   223.04,   353.90
  472.12,   353.16,   106.49
  469.62,   350.43,   230.82
  467.34,   347.63,   356.05
  600.42,   105.27,   102.94
  597.82,   102.33,   228.03
  595.48,    99.23,   353.20
  599.09,   230.06,   106.32
  596.95,   227.19,   231.07
  594.30,   224.46,   356.03
  597.61,   354.69,   108.05
  595.32,   352.12,   233.91
  592.81,   349.05,   358.81
  349.75,    99.99,   225.43
  346.94,    99.31,   350.45
  344.51,    98.10,   475.36
  353.00,   224.37,   226.05
  350.30,   223.82,   351.21
  347.37,   222.86,   475.64
  355.81,   349.92,   227.04
  353.42,   348.43,   351.46
  350.35,   347.85,   477.04
  475.26,    96.91,   227.79
  472.07,    95.93,   352.83
  469.19,    94.78,   477.97
  478.18,   221.33,   229.41
  474.94,   220.70,   353.80
  472.52,   220.13,   479.09
  481.02,   346.20,   229.83
  478.48,   346.04,   355.10
  475.68,   345.34,   479.77
  599.61,    93.63,   230.67
  597.04,    92.69,   356.38
  593.77,    92.00,   480.47
  602.76,   218.49,   232.27
  599.49,   217.72,   356.78
  597.43,   217.09,   481.31
  605.43,   343.67,   232.59
  602.87,   342.55,   357.23
  599.83,   342.27,   482.74
  348.45,    98.07,   351.80
  351.11,    94.55,   476.57
  354.42,    91.22,   601.28
  351.96,   223.50,   354.87
  354.11,   219.42,   480.21
  357.52,   216.08,   605.37
  355.24,   348.13,   358.31
  358.34,   344.18,   483.87
  360.75,   340.52,   608.22
  473.32,    94.98,   348.83
  475.92,    91.17,   473.80
  478.81,    87.90,   598.78
  476.99,   219.82,   352.09
  479.15,   216.17,   477.23
  482.04,   212.53,   601.80
  480.78,   344.69,   355.68
  482.97,   340.94,   481.03
  485.63,   337.99,   605.73
  598.31,    91.63,   346.63
  601.22,    88.18,   471.48
  604.22,    84.93,   596.15
  602.31,   217.00,   349.92
  604.66,   212.57,   474.92
  606.88,   209.13,   599.76
  605.54,   341.40,   353.25
  607.71,   337.47,   478.58
  610.48,   334.66,   603.04
  349.86,   101.71,   475.44
  352.01,    99.10,   600.95
  354.43,    95.75,   725.83
  349.14,   226.53,   478.59
  351.41,   224.53,   603.85
  353.66,   221.40,   728.85
  348.46,   352.12,   481.62
  350.81,   348.67,   606.52
  353.10,   345.64,   731.18
  474.66,   102.27,   473.15
  476.87,    99.41,   598.90
  478.75,    97.01,   723.30
  474.21,   227.40,   476.26
  476.80,   224.38,   601.68
  478.67,   221.38,   725.87
  473.50,   352.91,   479.68
  475.70,   349.90,   604.25
  477.89,   347.09,   728.73
  600.21,   103.30,   471.02
  602.14,   100.06,   595.90
  603.87,    97.48,   721.55
  599.18,   228.45,   474.13
  601.53,   225.47,   599.08
  604.07,   222.18,   724.04
  598.56,   353.15,   477.52
  600.70,   349.95,   602.00
  602.97,   347.54,   727.31
  350.16,   100.90,   601.37
  350.22,   102.09,   726.90
  350.09,   103.15,   851.65
  347.42,   225.44,   600.06
  346.81,   227.13,   725.07
  346.72,   227.93,   850.80
  344.95,   350.70,   599.46
  344.15,   351.67,   724.49
  343.48,   353.14,   849.50
  475.45,   103.60,   601.69
  475.47,   105.42,   727.16
  474.94,   105.77,   852.03
  472.64,   228.28,   600.97
  472.36,   229.90,   725.55
  472.12,   231.13,   850.55
  469.52,   353.43,   599.37
  469.69,   354.82,   724.84
  468.77,   355.61,   849.78
  600.48,   106.72,   602.72
  600.42,   107.94,   727.40
  599.69,   109.23,   852.70
  597.33,   231.79,   600.82
  597.14,   232.28,   726.60
  597.13,   234.12,   851.58
  594.31,   356.63,   600.02
  594.68,   357.78,   724.81
  593.34,   358.87,   849.98
  351.41,   224.20,    99.12
  353.70,   224.57,   223.47
  356.70,   225.82,   348.84
  348.59,   349.08,    98.25
  349.87,   350.15,   223.65
  352.86,   350.59,   347.96
  343.98,   474.21,    97.54
  346.34,   474.36,   222.79
  349.34,   475.73,   348.09
  476.36,   227.94,    96.76
  479.31,   228.54,   221.35
  481.14,   229.44,   346.82
  472.51,   352.93,    95.76
  475.36,   353.08,   220.94
  477.23,   354.01,   346.23
  469.06,   478.19,    95.56
  471.48,   478.22,   220.21
  474.17,   478.80,   345.66
  601.51,   231.48,    94.28
  604.25,   232.08,   219.58
  606.36,   232.71,   344.68
  597.86,   355.91,    93.46
  600.49,   356.92,   218.74
  602.27,   357.87,   343.26
  594.75,   481.46,    93.09
  596.57,   481.72,   217.98
  599.32,   482.54,   343.01
  351.01,   224.28,   225.96
  347.04,   220.60,   350.57
  344.77,   217.12,   475.47
  348.08,   348.53,   228.81
  345.10,   345.20,   353.42
  342.13,   342.05,   478.78
  345.28,   473.59,   232.19
  343.05,   470.35,   356.62
  339.43,   467.15,   481.55
  475.47,   226.12,   228.50
  471.96,   223.08,   353.65
  469.62,   219.75,   478.63
  473.43,   351.52,   232.44
  469.56,   347.80,   357.27
  466.72,   344.80,   482.21
  470.33,   476.32,   234.94
  467.38,   472.84,   360.44
  464.30,   469.45,   484.67
  600.27,   228.96,   231.97
  597.63,   225.24,   357.40
  593.93,   222.59,   481.69
  597.97,   353.78,   235.32
  594.75,   350.91,   360.05
  591.99,   347.37,   484.98
  595.44,   478.85,   238.81
  592.60,   474.99,   362.95
  589.25,   472.21,   488.23
  351.41,   223.74,   350.70
  351.00,   220.76,   475.93
  349.86,   218.02,   600.23
  351.73,   348.49,   352.53
  350.57,   345.80,   478.08
  350.45,   343.30,   602.52
  351.82,   473.14,   355.15
  351.32,   470.50,   480.30
  350.11,   468.64,   605.10
  476.41,   223.26,   350.82
  475.05,   220.50,   476.38
  475.03,   218.08,   601.56
  476.48,   347.89,   353.73
  476.35,   345.66,   479.06
  475.17,   342.95,   603.55
  477.09,   473.27,   356.58
  475.91,   470.30,   481.54
  475.47,   467.90,   605.83
  601.23,   222.29,   352.16
  600.83,   220.31,   477.02
  600.11,   217.79,   601.81
  601.51,   347.84,   354.46
  601.27,   345.00,   479.12
  600.24,   342.57,   604.07
  602.12,   472.14,   356.80
  601.60,   469.82,   482.25
  600.31,   467.22,   606.62
  351.90,   225.28,   474.94
  350.44,   221.66,   600.05
  349.29,   218.70,   724.45
  352.34,   350.25,   478.25
  350.67,   346.45,   602.95
  350.12,   343.45,   727.76
  352.63,   474.97,   481.29
  351.26,   471.42,   606.04
  350.05,   468.93,   730.71
  477.31,   225.19,   475.38
  475.28,   221.44,   601.07
  474.73,   218.77,   725.72
  477.08,   349.72,   478.69
  476.28,   346.23,   604.39
  475.00,   343.14,   728.90
  477.00,   474.82,   481.99
  476.39,   472.00,   607.30
  475.53,   468.56,   732.62
  602.37,   224.92,   476.53
  600.39,   221.72,   602.07
  599.58,   218.58,   726.63
  602.07,   349.41,   479.98
  601.04,   346.76,   605.31
  600.28,   342.66,   729.82
  602.75,   474.77,   483.53
  601.06,   471.19,   608.24
  600.19,   468.55,   733.76
  350.57,   227.42,   598.66
  347.35,   225.46,   723.96
  343.48,   224.51,   848.33
  347.38,   351.98,   600.45
  344.13,   350.84,   725.21
  340.61,   349.81,   850.06
  344.12,   477.06,   601.82
  340.62,   475.13,   726.75
  337.63,   474.52,   851.64
  474.64,   229.95,   602.17
  471.92,   228.46,   726.94
  468.37,   227.19,   851.85
  472.41,   355.16,   603.95
  469.36,   353.78,   728.57
  465.80,   352.17,   853.73
  469.71,   479.93,   604.82
  466.11,   478.65,   729.62
  462.60,   477.09,   854.50
  599.90,   232.92,   606.18
  596.31,   231.32,   730.82
  593.60,   229.91,   855.78
  597.20,   357.93,   606.64
  593.69,   356.57,   731.77
  590.76,   354.86,   857.15
  594.32,   482.31,   608.26
  591.03,   481.36,   733.25
  587.36,   479.66,   858.45
  350.54,   349.44,    98.57
  348.45,   351.34,   223.87
  345.40,   352.24,   348.80
  353.14,   474.84,    97.39
  350.33,   476.33,   222.86
  346.89,   477.26,   347.47
  354.79,   600.28,    97.21
  352.28,   600.79,   221.45
  349.02,   601.60,   346.13
  476.20,   347.95,   101.53
  472.55,   348.35,   226.46
  470.36,   350.26,   351.53
  478.37,   472.59,   101.09
  474.66,   473.46,   225.38
  472.01,   474.51,   350.09
  479.79,   598.07,   100.07
  477.55,   598.60,   224.21
  474.40,   600.28,   349.25
  601.25,   345.29,   104.72
  598.41,   346.95,   229.48
  594.93,   347.31,   354.24
  602.82,   471.10,   103.75
  599.78,   471.99,   228.57
  597.09,   472.34,   353.83
  605.19,   596.08,   102.64
  602.49,   596.67,   227.69
  599.30,   597.72,   352.48
  349.24,   348.64,   223.93
  347.94,   349.21,   348.93
  347.00,   350.50,   473.46
  348.10,   474.11,   223.32
  347.10,   474.87,   347.57
  345.52,   475.36,   472.86
  347.27,   598.64,   222.67
  345.39,   599.68,   346.98
  343.83,   600.21,   471.94
  474.58,   349.74,   225.31
  473.43,   351.09,   350.50
  471.20,   351.30,   475.32
  473.25,   475.49,   224.34
  472.21,   475.52,   349.05
  470.42,   475.82,   474.08
  471.97,   599.69,   223.67
  470.62,   600.96,   348.87
  469.05,   600.91,   473.36
  599.12,   351.58,   226.60
  598.00,   352.40,   351.32
  596.42,   352.58,   476.33
  598.09,   475.87,   225.84
  596.35,   476.62,   351.01
  595.30,   477.67,   475.77
  597.34,   601.55,   225.39
  595.15,   601.63,   350.40
  594.36,   602.94,   475.68
  351.21,   351.25,   350.21
  354.41,   353.13,   475.51
  357.52,   354.61,   600.32
  348.54,   476.13,   348.91
  351.96,   477.90,   473.37
  354.14,   480.03,   598.72
  345.78,   601.24,   347.42
  348.78,   602.56,   471.93
  351.53,   604.50,   596.75
  476.11,   353.54,   347.97
  479.69,   355.74,   472.41
  482.66,   357.16,   597.34
  473.07,   479.30,   346.29
  476.34,   481.01,   470.88
  479.29,   482.29,   595.39
  470.17,   603.38,   344.15
  472.93,   605.52,   469.14
  476.53,   607.25,   593.79
  600.95,   357.00,   344.23
  604.25,   358.35,   469.94
  607.10,   360.30,   593.98
  598.44,   481.76,   343.15
  601.49,   483.52,   467.40
  604.28,   485.09,   592.50
  595.52,   606.74,   340.91
  597.78,   608.61,   465.56
  601.09,   609.92,   590.40
  349.27,   351.13,   474.57
  348.78,   352.72,   598.83
  347.21,   354.38,   724.65
  350.82,   475.87,   472.76
  349.17,   477.61,   597.19
  348.05,   479.45,   722.17
  351.77,   601.39,   470.66
  350.14,   602.79,   595.92
  349.56,   604.38,   720.56
  474.33,   350.45,   475.75
  473.65,   351.31,   599.84
  472.55,   353.75,   725.46
  475.88,   474.95,   473.30
  474.47,   476.41,   599.18
  473.29,   478.05,   723.30
  476.26,   600.59,   471.88
  475.07,   602.05,   596.89
  474.98,   603.65,   721.86
  599.52,   349.30,   475.83
  598.25,   350.55,   601.36
  597.46,   352.04,   726.05
  600.72,   474.61,   474.56
  599.84,   475.68,   599.33
  598.31,   477.34,   724.21
  602.00,   599.08,   472.86
  600.73,   600.66,   598.38
  599.81,   602.29,   722.54
  348.27,   348.78,   600.60
  350.43,   351.66,   725.36
  351.83,   353.65,   850.20
  347.67,   474.14,   597.32
  349.17,   476.50,   722.54
  350.64,   478.86,   847.88
  346.95,   598.81,   595.18
  348.16,   601.24,   719.59
  349.29,   604.09,   844.91
  473.56,   349.33,   598.68
  474.76,   352.05,   723.71
  476.78,   355.06,   848.50
  472.75,   474.68,   596.17
  474.00,   477.08,   721.12
  475.41,   479.78,   845.50
  472.02,   600.05,   593.64
  473.20,   602.30,   718.60
  474.31,   604.55,   843.78
  598.77,   350.76,   597.39
  600.11,   353.28,   721.81
  601.26,   356.09,   847.09
  597.97,   475.93,   594.88
  599.11,   478.07,   719.73
  600.99,   480.90,   844.29
  596.15,   600.74,   592.24
  597.72,   603.16,   717.39
  600.02,   606.06,   841.93
  349.62,   473.70,   101.16
  348.52,   475.96,   225.50
  347.33,   477.71,   351.13
  351.99,   599.09,    98.67
  350.95,   600.35,   223.44
  350.03,   602.72,   348.49
  354.38,   723.60,    97.22
  353.55,   725.56,   222.29
  352.07,   727.47,   346.95
  474.47,   471.61,   101.32
  473.38,   473.66,   226.51
  472.84,   474.66,   352.11
  476.43,   596.03,    99.62
  475.51,   597.75,   224.83
  474.89,   600.19,   349.60
  478.80,   720.79,    97.47
  478.29,   723.33,   222.89
  477.63,   724.81,   348.21
  599.04,   468.92,   102.84
  598.48,   470.69,   227.51
  597.90,   472.34,   352.63
  601.76,   593.85,   100.53
  600.41,   596.03,   225.71
  599.43,   597.93,   350.39
  603.90,   719.00,    99.15
  603.63,   721.10,   224.10
  602.62,   722.40,   349.38
  351.31,   474.86,   223.52
  352.65,   472.39,   349.12
  353.75,   469.71,   474.07
  353.67,   599.73,   227.12
  354.57,   596.85,   351.92
  355.54,   594.80,   476.99
  355.28,   725.28,   229.78
  356.33,   721.91,   354.69
  356.70,   719.79,   479.52
  476.17,   473.86,   223.28
  477.98,   470.57,   348.05
  478.63,   467.64,   473.11
  478.38,   598.83,   225.96
  479.34,   595.58,   350.72
  479.88,   592.26,   475.28
  479.91,   723.17,   228.54
  480.64,   720.71,   353.81
  482.01,   717.46,   478.65
  600.91,   471.88,   221.83
  602.10,   469.19,   346.60
  603.82,   466.12,   472.00
  603.28,   596.32,   224.74
  604.38,   593.33,   349.50
  604.87,   590.66,   475.01
  605.04,   721.65,   227.49
  605.81,   718.92,   353.06
  606.82,   716.08,   477.33
  350.32,   476.47,   348.59
  349.71,   476.60,   473.62
  350.09,   475.62,   598.31
  352.76,   602.16,   349.34
  352.45,   600.84,   473.75
  352.60,   600.06,   599.20
  355.63,   726.73,   349.24
  355.54,   726.53,   475.14
  355.02,   725.86,   600.21
  475.21,   474.27,   349.12
  475.11,   473.14,   474.04
  474.12,   472.92,   598.34
  477.49,   598.79,   349.09
  477.03,   598.72,   474.12
  477.70,   598.21,   599.68
  480.70,   723.89,   349.85
  479.85,   723.77,   475.20
  480.32,   722.97,   600.25
  599.81,   471.21,   348.67
  599.48,   470.77,   473.40
  599.85,   469.77,   598.45
  602.14,   596.81,   349.94
  602.19,   595.29,   474.71
  602.06,   594.72,   599.47
  605.55,   721.56,   350.21
  604.75,   720.82,   475.55
  605.39,   719.44,   600.59
  349.75,   476.88,   475.22
  351.96,   477.55,   600.39
  354.20,   477.25,   725.27
  350.90,   602.09,   475.27
  353.08,   602.25,   599.32
  355.26,   602.45,   724.92
  350.55,   727.31,   474.25
  353.39,   727.02,   599.48
  355.22,   727.45,   724.33
  475.36,   476.42,   473.29
  476.95,   476.83,   597.98
  479.59,   477.38,   723.27
  475.40,   601.12,   472.30
  477.65,   601.83,   597.11
  479.81,   601.74,   722.19
  475.60,   726.88,   472.57
  477.71,   726.97,   596.80
