27, 125 pa2-debug-b-our-output2.txt
  356.27,   212.12,   591.94
  352.97,   343.80,   344.96
  356.49,   339.70,   469.79
  359.69,   336.26,   594.76
  356.68,   468.45,   348.86
  360.06,   465.00,   473.66
  362.86,   461.95,   598.89
  101.80,   223.94,   473.84
   98.84,   222.56,   598.69
   94.97,   220.82,   723.59
  104.47,   348.37,   475.39
  101.78,   346.94,   600.15
   97.54,   346.21,   725.22
  108.10,   473.74,   476.82
  104.54,   471.72,   602.10
  101.24,   470.65,   726.72
  226.51,   220.94,   476.99
  222.91,   219.08,   601.58
  219.93,   217.43,   726.72
  229.85,   345.99,   478.82
  226.26,   344.27,   603.50
  222.67,   342.29,   728.80
  233.18,   470.65,   479.99
  228.88,   469.51,   605.74
  226.03,   467.94,   730.40
  352.00,   217.85,   480.35
  348.09,   215.96,   605.98
  345.00,   215.00,   730.60
  354.29,   342.53,   482.35
  351.35,   341.45,   606.69
  348.07,   339.63,   732.09
  357.33,   467.34,   483.81
  354.10,   466.38,   608.50
  350.32,   464.96,   734.05
   98.88,   224.10,   601.01
  102.36,   223.37,   726.04
  105.86,   223.89,   850.56
  100.60,   349.02,   600.94
  104.04,   348.48,   725.48
  107.80,   349.00,   851.12
  102.63,   473.84,   600.82
  106.61,   473.39,   725.35
  109.77,   473.52,   850.22
  224.23,   221.47,   596.84
  227.05,   222.09,   722.60
  230.63,   221.45,   846.97
  225.68,   346.32,   597.25
  228.92,   346.49,   722.51
  233.05,   346.36,   846.82
  227.97,   471.69,   597.76
  231.10,   471.84,   721.94
  234.62,   471.93,   847.23
  349.41,   219.37,   594.18
  351.99,   219.62,   719.28
  356.21,   219.92,   844.10
  350.51,   344.31,   593.40
  354.65,   344.89,   719.07
  357.61,   344.12,   843.92
  352.78,   469.13,   594.42
  356.69,   469.48,   719.18
  360.18,   469.08,   843.72
  100.73,   350.72,    99.52
   99.90,   354.32,   223.79
  100.18,   357.52,   348.67
  103.07,   475.91,    95.96
  102.58,   479.16,   221.42
  101.76,   482.13,   345.98
  105.59,   601.00,    92.82
  105.18,   604.09,   217.60
  104.53,   606.87,   342.80
  225.76,   349.34,    99.89
  225.62,   351.77,   224.53
  224.57,   354.93,   349.48
  227.53,   473.39,    96.93
  227.32,   477.24,   221.74
  226.74,   480.10,   346.14
  229.93,   598.64,    93.62
  229.47,   601.82,   219.17
  229.43,   604.67,   343.25
  351.28,   347.11,    99.95
  350.58,   349.79,   225.66
  350.14,   353.11,   349.75
  352.84,   471.55,    96.99
  352.79,   474.69,   222.08
  352.41,   477.46,   347.11
  355.02,   596.34,    94.06
  354.44,   599.84,   219.21
  353.97,   602.26,   343.90
  101.35,   348.06,   226.01
  102.85,   349.91,   351.15
  104.42,   351.55,   476.10
  100.00,   473.11,   225.15
  101.93,   474.68,   349.47
  103.47,   476.29,   475.28
   98.95,   598.54,   223.69
  101.02,   600.39,   348.17
  102.24,   601.84,   473.12
  226.49,   349.95,   224.86
  228.04,   350.55,   349.83
  229.46,   352.42,   474.40
  224.99,   474.56,   223.33
  226.48,   475.90,   347.98
  228.30,   477.39,   473.14
  223.66,   599.63,   221.51
  225.64,   601.13,   346.08
  227.10,   602.43,   471.70
  351.10,   350.71,   222.62
  352.61,   352.33,   348.50
  354.57,   353.53,   473.23
  349.79,   475.43,   221.12
  351.68,   476.88,   346.67
  353.41,   478.41,   471.33
  349.18,   600.85,   219.53
  350.70,   602.30,   345.13
  352.46,   603.51,   469.86
   98.83,   350.63,   351.23
  101.75,   347.31,   476.62
  104.40,   343.36,   601.24
  102.13,   475.38,   355.45
  104.40,   472.31,   480.24
  107.51,   468.67,   604.76
  104.36,   600.51,   358.30
  107.98,   596.50,   483.50
  110.43,   593.14,   608.05
  223.19,   347.57,   348.46
  226.26,   344.42,   473.92
  229.03,   340.69,   598.40
  226.09,   472.24,   351.92
  229.67,   468.71,   476.72
  232.45,   465.63,   602.26
  229.80,   597.03,   355.71
  232.17,   593.51,   479.89
  235.76,   590.73,   605.36
  348.60,   344.79,   345.33
  350.97,   341.14,   470.34
  354.38,   337.77,   595.81
  351.77,   469.68,   349.52
  354.94,   466.36,   473.74
  357.66,   462.40,   598.91
  354.25,   593.87,   352.59
  357.58,   590.82,   477.35
  360.65,   586.87,   602.03
  100.18,   350.18,   473.54
  100.70,   347.05,   598.69
  100.59,   343.22,   723.34
   98.72,   475.60,   477.23
   99.28,   472.22,   601.92
   99.55,   468.02,   727.15
   98.05,   600.55,   480.89
   98.94,   596.27,   605.20
