27, 125 pa2-debug-c-our-output2.txt
  354.79,   235.82,   595.85
  346.50,   358.20,   344.71
  348.75,   359.49,   469.69
  351.05,   360.76,   594.65
  342.75,   483.14,   343.51
  345.00,   484.41,   468.48
  347.29,   485.70,   593.44
  100.93,   225.74,   474.67
   97.90,   227.00,   599.61
   94.88,   228.26,   724.57
  102.16,   350.74,   473.43
   99.16,   351.99,   598.37
   96.12,   353.26,   723.36
  103.41,   475.74,   472.20
  100.42,   476.96,   597.15
   97.37,   478.24,   722.10
  225.89,   224.51,   477.69
  222.84,   225.78,   602.65
  219.83,   227.03,   727.59
  227.16,   349.50,   476.46
  224.08,   350.75,   601.43
  221.12,   352.03,   726.38
  228.43,   474.49,   475.21
  225.33,   475.75,   600.19
  222.37,   477.01,   725.11
  350.85,   223.29,   480.75
  347.81,   224.55,   605.67
  344.80,   225.80,   730.65
  352.09,   348.28,   479.51
  349.08,   349.54,   604.45
  346.01,   350.81,   729.44
  353.34,   473.27,   478.27
  350.33,   474.53,   603.22
  347.28,   475.77,   728.18
   99.83,   223.04,   598.50
   97.82,   223.00,   723.48
   95.79,   222.96,   848.47
   96.92,   348.01,   598.48
   94.88,   347.98,   723.50
   92.90,   347.92,   848.48
   94.01,   472.96,   598.49
   91.93,   472.94,   723.47
   89.94,   472.88,   848.41
  224.77,   225.98,   600.52
  222.77,   225.93,   725.49
  220.75,   225.88,   850.47
  221.84,   350.93,   600.52
  219.88,   350.90,   725.50
  217.81,   350.87,   850.49
  218.90,   475.90,   600.51
  216.94,   475.86,   725.46
  214.92,   475.80,   850.48
  349.74,   228.90,   602.52
  347.73,   228.85,   727.52
  345.74,   228.82,   852.53
  346.83,   353.87,   602.53
  344.76,   353.84,   727.54
  342.77,   353.80,   852.48
  343.89,   478.83,   602.52
  341.84,   478.77,   727.51
  339.87,   478.72,   852.53
  100.27,   351.31,    98.47
   98.03,   351.67,   223.45
   95.76,   351.97,   348.41
  102.32,   476.30,    98.20
  100.01,   476.63,   223.18
   97.81,   476.94,   348.14
  104.38,   601.29,    97.90
  102.11,   601.62,   222.88
   99.85,   601.94,   347.85
  225.22,   349.27,   100.76
  222.95,   349.60,   225.74
  220.64,   349.92,   350.72
  227.34,   474.28,   100.46
  225.04,   474.58,   225.43
  222.70,   474.90,   350.43
  229.35,   599.25,   100.18
  227.10,   599.56,   225.15
  224.79,   599.88,   350.13
  350.20,   347.22,   103.03
  347.96,   347.54,   228.01
  345.68,   347.87,   352.99
  352.23,   472.16,   102.77
  350.00,   472.53,   227.73
  347.73,   472.85,   352.71
  354.31,   597.15,   102.45
  352.04,   597.51,   227.44
  349.78,   597.85,   352.42
  101.01,   350.89,   223.97
  103.75,   353.58,   348.89
  106.46,   356.30,   473.85
   97.67,   475.82,   221.34
  100.46,   478.49,   346.27
  103.17,   481.24,   471.22
   94.48,   600.79,   218.69
   97.16,   603.44,   343.63
   99.90,   606.16,   468.58
  225.91,   354.12,   221.14
  228.63,   356.81,   346.09
  231.45,   359.52,   471.02
  222.64,   479.04,   218.49
  225.33,   481.74,   343.46
  228.16,   484.45,   468.37
  219.33,   603.97,   215.86
  222.06,   606.67,   340.82
  224.84,   609.38,   465.75
  350.87,   357.35,   218.31
  353.63,   360.05,   343.25
  356.34,   362.76,   468.21
  347.55,   482.28,   215.70
  350.33,   484.99,   340.63
  353.04,   487.68,   465.58
  344.25,   607.21,   213.06
  347.01,   609.92,   338.01
  349.76,   612.61,   462.93
  100.42,   349.47,   350.54
   96.81,   351.79,   475.49
   93.25,   354.07,   600.40
  100.29,   474.44,   348.25
   96.66,   476.77,   473.20
   93.12,   479.03,   598.11
  100.13,   599.42,   345.94
   96.55,   601.73,   470.88
   92.97,   604.02,   595.79
  225.31,   349.67,   354.14
  221.79,   351.98,   479.07
  218.15,   354.26,   604.01
  225.17,   474.64,   351.84
  221.67,   476.95,   476.74
  218.00,   479.25,   601.69
  225.07,   599.62,   349.54
  221.51,   601.94,   474.45
  217.89,   604.23,   599.40
  350.33,   349.88,   357.72
  346.71,   352.18,   482.66
  343.14,   354.48,   607.57
  350.20,   474.85,   355.42
  346.58,   477.15,   480.35
  343.00,   479.46,   605.27
  350.04,   599.84,   353.12
  346.45,   602.12,   478.03
  342.87,   604.43,   602.99
  100.42,   348.46,   474.13
   99.21,   348.11,   599.10
   97.93,   347.80,   724.13
   98.28,   473.43,   474.44
   97.06,   473.08,   599.42
   95.77,   472.77,   724.40
   96.15,   598.41,   474.73
   94.91,   598.07,   599.71
   93.62,   597.77,   724.73
  225.44,   350.58,   475.38
  224.14,   350.24,   600.38
  222.95,   349.94,   725.38
  223.31,   475.57,   475.66
  221.99,   475.24,   600.68
  220.79,   474.91,   725.63
  221.14,   600.55,   475.98
  219.86,   600.21,   600.99
  218.66,   599.90,   725.98
  350.39,   352.73,   476.64
  349.15,   352.41,   601.63
  347.86,   352.09,   726.65
  348.25,   477.70,   476.95
  347.01,   477.38,   601.93
  345.72,   477.04,   726.92
  346.11,   602.67,   477.23
  344.86,   602.36,   602.24
  343.56,   602.05,   727.24
  101.92,   351.11,   601.12
  100.66,   352.26,   726.14
   99.42,   353.39,   851.14
  104.34,   476.07,   600.02
  103.08,   477.22,   724.99
  101.79,   478.37,   849.97
  106.73,   601.06,   598.89
  105.50,   602.20,   723.92
  104.27,   603.32,   848.91
  226.86,   348.71,   602.41
  225.67,   349.86,   727.39
  224.38,   351.00,   852.37
  229.27,   473.68,   601.29
  228.07,   474.81,   726.24
  226.84,   475.94,   851.27
  231.69,   598.65,   600.18
  230.48,   599.79,   725.17
  229.21,   600.95,   850.14
  351.86,   346.32,   603.65
  350.58,   347.47,   728.67
  349.36,   348.60,   853.61
  354.27,   471.29,   602.54
  353.00,   472.40,   727.53
  351.80,   473.54,   852.55
  356.68,   596.26,   601.44
  355.40,   597.40,   726.43
  354.16,   598.54,   851.40
   98.52,   473.74,   101.51
   96.47,   474.46,   226.50
   94.51,   475.16,   351.48
  101.68,   598.70,   100.85
   99.68,   599.43,   225.84
   97.66,   600.13,   350.81
  104.87,   723.67,   100.19
  102.84,   724.36,   225.18
  100.81,   725.08,   350.16
  223.50,   470.61,   103.54
  221.44,   471.28,   228.52
  219.37,   472.00,   353.52
  226.63,   595.54,   102.88
  224.62,   596.25,   227.86
  222.58,   596.95,   352.85
  229.81,   720.50,   102.21
  227.81,   721.20,   227.21
  225.77,   721.92,   352.19
  348.36,   467.38,   105.60
  346.39,   468.13,   230.57
  344.38,   468.83,   355.55
  351.55,   592.34,   104.92
  349.55,   593.09,   229.91
  347.55,   593.80,   354.90
  354.75,   717.32,   104.24
  352.72,   718.04,   229.25
  350.73,   718.75,   354.23
  101.23,   476.50,   226.49
  100.54,   473.76,   351.44
   99.74,   471.07,   476.43
  102.86,   601.47,   229.23
  102.12,   598.73,   354.17
  101.36,   596.02,   479.15
  104.46,   726.42,   231.95
  103.68,   723.69,   356.92
  102.97,   720.95,   481.90
  226.30,   474.91,   227.18
  225.47,   472.17,   352.17
  224.79,   469.45,   477.11
  227.88,   599.86,   229.94
  227.10,   597.13,   354.91
  226.36,   594.41,   479.87
  229.47,   724.82,   232.69
  228.70,   722.10,   357.64
  227.94,   719.35,   482.63
  351.28,   473.30,   227.93
  350.53,   470.56,   352.89
  349.73,   467.83,   477.86
  352.85,   598.26,   230.67
  352.11,   595.53,   355.64
  351.34,   592.78,   480.59
  354.43,   723.22,   233.42
  353.69,   720.49,   358.37
  352.94,   717.75,   483.32
   98.79,   476.78,   349.86
   96.18,   478.03,   474.86
   93.68,   479.21,   599.81
   95.83,   601.76,   348.58
   93.24,   602.98,   473.57
   90.71,   604.18,   598.52
   92.86,   726.73,   347.31
   90.35,   727.95,   472.27
   87.70,   729.15,   597.24
  223.67,   479.77,   352.41
  221.18,   481.00,   477.35
  218.55,   482.21,   602.34
  220.74,   604.73,   351.13
  218.21,   605.96,   476.10
  215.62,   607.16,   601.07
  217.79,   729.70,   349.84
  215.24,   730.89,   474.83
  212.67,   732.15,   599.78
  348.68,   482.75,   354.94
  346.08,   483.96,   479.91
  343.53,   485.19,   604.87
  345.70,   607.72,   353.67
  343.14,   608.92,   478.61
  340.58,   610.15,   603.61
  342.75,   732.68,   352.38
  340.20,   733.88,   477.33
  337.61,   735.11,   602.32
  100.70,   476.79,   473.87
  100.81,   478.15,   598.85
  100.87,   479.57,   723.83
  101.77,   601.76,   472.46
  101.84,   603.16,   597.43
  101.91,   604.57,   722.46
  102.82,   726.73,   471.07
  102.87,   728.15,   596.06
  102.96,   729.55,   721.03
  225.76,   475.73,   473.78
  225.77,   477.13,   598.80
  225.89,   478.53,   723.75
  226.77,   600.72,   472.40
  226.82,   602.12,   597.40
  226.94,   603.52,   722.39
  227.80,   725.70,   471.01
  227.86,   727.12,   595.98
  227.94,   728.51,   720.96
  350.71,   474.69,   473.75
  350.80,   476.09,   598.73
  350.85,   477.47,   723.72
  351.76,   599.67,   472.33
  351.84,   601.09,   597.34
  351.87,   602.50,   722.34
  352.80,   724.66,   470.91
  352.86,   726.07,   595.93
  352.93,   727.45,   720.92
  100.40,   476.35,   600.57
  102.10,   474.39,   725.54
  103.78,   472.42,   850.49
   97.72,   601.33,   602.58
   99.42,   599.36,   727.59
  101.18,   597.36,   852.56
   95.01,   726.28,   604.61
   96.76,   724.28,   729.59
   98.44,   722.32,   854.57
  225.32,   479.07,   598.90
  227.09,   477.09,   723.83
  228.82,   475.09,   848.84
  222.66,   604.03,   600.93
  224.42,   602.05,   725.90
  226.09,   600.09,   850.85
  219.98,   729.00,   602.92
  221.71,   727.01,   727.89
  223.45,   725.01,   852.85
  350.32,   481.78,   597.22
  352.01,   479.78,   722.19
  353.75,   477.80,   847.20
  347.64,   606.74,   599.25
  349.32,   604.77,   724.23
  351.03,   602.79,   849.17
  344.94,   731.69,   601.26
  346.67,   729.68,   726.23
  348.38,   727.73,   851.23
   98.03,   599.59,    99.93
   98.84,   602.22,   224.91
   99.60,   604.78,   349.87
   96.51,   724.58,    97.36
   97.29,   727.16,   222.33
   98.06,   729.75,   347.30
   94.99,   849.55,    94.78
   95.80,   852.12,   219.73
   96.56,   854.73,   344.75
  223.02,   601.14,    99.13
  223.82,   603.70,   224.08
  224.57,   606.28,   349.06
  221.50,   726.08,    96.54
  222.31,   728.67,   221.50
  223.06,   731.26,   346.47
  219.95,   851.03,    93.99
  220.76,   853.60,   218.91
  221.53,   856.25,   343.92
  347.99,   602.59,    98.30
  348.79,   605.22,   223.28
  349.59,   607.81,   348.26
  346.51,   727.60,    95.74
  347.25,   730.16,   220.70
  348.07,   732.76,   345.67
  345.01,   852.59,    93.16
  345.77,   855.12,   218.12
  346.54,   857.75,   343.09
   99.53,   600.11,   226.20
   98.12,   597.45,   351.15
   96.70,   594.82,   476.13
   99.50,   725.07,   228.85
   98.09,   722.43,   353.80
   96.73,   719.78,   478.77
   99.48,   850.04,   231.47
   98.08,   847.40,   356.47
   96.71,   844.73,   481.38
  224.51,   600.08,   227.59
  223.09,   597.42,   352.57
  221.72,   594.80,   477.52
  224.52,   725.04,   230.24
  223.08,   722.40,   355.19
  221.69,   719.75,   480.18
  224.49,   850.01,   232.88
  223.06,   847.40,   357.85
  221.69,   844.69,   482.80
  349.49,   600.07,   229.01
  348.11,   597.42,   353.97
  346.70,   594.76,   478.92
  349.47,   725.03,   231.65
  348.09,   722.39,   356.61
  346.70,   719.73,   481.55
  349.49,   850.00,   234.30
  348.08,   847.37,   359.24
  346.69,   844.71,   484.22
  100.23,   599.35,   350.99
  101.25,   603.09,   475.94
  102.27,   606.80,   600.86
   97.10,   724.26,   347.30
   98.16,   727.97,   472.25
   99.14,   731.71,   597.19
   93.98,   849.19,   343.63
   95.04,   852.87,   468.51
   96.02,   856.63,   593.49
  225.17,   602.44,   349.89
  226.21,   606.17,   474.82
  227.21,   609.88,   599.78
  222.05,   727.35,   346.18
  223.08,   731.06,   471.14
  224.09,   734.80,   596.06
  218.92,   852.28,   342.51
  219.98,   855.93,   467.41
  220.97,   859.71,   592.40
  350.16,   605.54,   348.78
  351.17,   609.24,   473.70
  352.20,   612.98,   598.66
  347.03,   730.45,   345.08
  348.06,   734.14,   470.00
  349.06,   737.89,   594.96
  343.90,   855.37,   341.38
  344.95,   859.04,   466.33
  345.97,   862.78,   591.27
   98.74,   600.81,   476.75
   98.22,   598.35,   601.72
   97.67,   595.93,   726.73
  100.61,   725.75,   479.22
  100.04,   723.32,   604.19
   99.54,   720.86,   729.16
  102.42,   850.70,   481.63
  101.90,   848.30,   606.68
  101.38,   845.82,   731.60
  223.74,   598.96,   477.24
  223.18,   596.49,   602.23
  222.70,   594.06,   727.20
  225.57,   723.90,   479.71
  225.04,   721.47,   604.66
  224.53,   719.02,   729.65
  227.44,   848.82,   482.14
  226.87,   846.47,   607.13
  226.39,   843.96,   732.09
  348.71,   597.08,   477.72
  348.19,   594.65,   602.72
  347.62,   592.21,   727.70
  350.56,   722.04,   480.17
  350.03,   719.61,   605.17
  349.50,   717.14,   730.14
  352.42,   847.00,   482.66
  351.86,   844.59,   607.59
  351.35,   842.09,   732.61
  100.24,   600.83,   598.23
  102.24,   599.42,   723.24
  104.25,   597.98,   848.23
  101.18,   725.82,   599.66
  103.20,   724.39,   724.62
  105.16,   722.99,   849.57
  102.13,   850.81,   601.09
  104.14,   849.37,   726.03
  106.13,   847.97,   851.03
  225.21,   599.90,   596.26
  227.24,   598.49,   721.23
  229.20,   597.09,   846.20
  226.16,   724.90,   597.64
  228.16,   723.47,   722.61
  230.18,   722.03,   847.62
  227.09,   849.92,   599.06
  229.13,   848.45,   724.02
  231.11,   847.05,   848.99
  350.21,   598.98,   594.25
  352.17,   597.58,   719.23
  354.15,   596.15,   844.18
  351.15,   723.97,   595.65
  353.14,   722.53,   720.61
  355.13,   721.13,   845.63
  352.10,   848.98,   597.03
  354.09,   847.52,   722.02
  356.09,   846.11,   847.06
  225.85,    99.66,   101.44
  226.94,    98.93,   226.44
  228.03,    98.22,   351.43
  222.51,   224.62,   102.19
  223.60,   223.89,   227.18
  224.66,   223.18,   352.19
  219.13,   349.57,   102.96
  220.22,   348.85,   227.96
  221.30,   348.12,   352.94
  350.78,   103.02,   100.37
  351.90,   102.30,   225.37
  352.98,   101.58,   350.37
  347.46,   227.97,   101.12
  348.54,   227.26,   226.15
  349.64,   226.51,   351.08
  344.10,   352.93,   101.88
  345.23,   352.20,   226.86
  346.32,   351.48,   351.86
  475.76,   106.37,    99.30
  476.85,   105.66,   224.31
  477.90,   104.90,   349.24
  472.39,   231.33,   100.06
  473.50,   230.59,   225.05
  474.58,   229.87,   350.02
  469.06,   356.28,   100.79
  470.11,   355.56,   225.82
  471.22,   354.83,   350.79
  225.35,    98.22,   226.44
  226.83,   100.79,   351.41
  228.30,   103.31,   476.36
  228.65,   223.14,   223.85
  230.09,   225.71,   348.83
  231.59,   228.25,   473.79
  231.91,   348.09,   221.27
  233.35,   350.63,   346.24
  234.89,   353.19,   471.19
  350.30,    94.90,   225.02
  351.78,    97.48,   350.03
  353.26,   100.00,   474.97
  353.57,   219.86,   222.48
  355.05,   222.39,   347.39
  356.54,   224.95,   472.40
  356.88,   344.78,   219.85
  358.36,   347.33,   344.81
  359.80,   349.89,   469.80
  475.29,    91.61,   223.65
  476.69,    94.13,   348.56
  478.21,    96.74,   473.57
  478.52,   216.53,   221.04
  479.99,   219.08,   345.98
  481.46,   221.67,   471.02
  481.76,   341.47,   218.47
  483.25,   344.02,   343.41
  484.73,   346.57,   468.40
  225.58,   100.90,   350.11
  225.19,    98.31,   475.07
  224.83,    95.78,   600.08
  227.98,   225.84,   352.69
  227.63,   223.27,   477.67
  227.22,   220.71,   602.63
  230.38,   350.79,   355.27
  230.06,   348.22,   480.24
  229.63,   345.65,   605.22
  350.56,    98.49,   350.47
  350.18,    95.89,   475.44
  349.76,    93.35,   600.41
  352.97,   223.41,   352.99
  352.61,   220.85,   478.01
  352.21,   218.28,   602.94
  355.41,   348.38,   355.59
  355.00,   345.81,   480.58
  354.63,   343.24,   605.54
  475.51,    96.02,   350.73
  475.18,    93.51,   475.74
  474.79,    90.92,   600.69
  477.94,   220.99,   353.33
  477.55,   218.45,   478.37
  477.18,   215.84,   603.28
  480.34,   345.95,   355.92
  479.96,   343.39,   480.92
  479.61,   340.82,   605.86
  223.97,   101.66,   475.45
  220.62,   104.86,   600.39
  217.22,   108.01,   725.29
  223.17,   226.63,   472.27
  219.77,   229.82,   597.19
  216.41,   233.00,   722.09
  222.37,   351.60,   469.07
  218.95,   354.76,   594.00
  215.63,   357.96,   718.90
  348.93,   102.56,   478.83
  345.55,   105.76,   603.74
  342.21,   108.93,   728.66
  348.13,   227.53,   475.64
  344.74,   230.71,   600.52
  341.37,   233.89,   725.46
  347.30,   352.49,   472.42
  343.94,   355.68,   597.33
  340.53,   358.86,   722.27
  473.89,   103.51,   482.18
  470.50,   106.64,   607.06
  467.13,   109.83,   732.01
  473.04,   228.45,   479.01
  469.69,   231.60,   603.87
  466.32,   234.80,   728.82
  472.22,   353.39,   475.79
  468.88,   356.57,   600.68
  465.52,   359.77,   725.59
  223.36,   100.60,   600.98
  221.41,    98.00,   725.93
  219.49,    95.43,   850.90
  222.16,   225.56,   603.53
  220.25,   222.97,   728.48
  218.33,   220.39,   853.43
  220.98,   350.52,   606.10
  219.13,   347.96,   731.05
  217.13,   345.39,   856.01
  348.31,   101.71,   602.92
  346.41,    99.14,   727.88
  344.48,    96.57,   852.82
  347.16,   226.67,   605.46
  345.25,   224.10,   730.44
  343.34,   221.53,   855.42
  346.01,   351.65,   608.03
  344.04,   349.09,   733.01
  342.14,   346.52,   857.91
  473.29,   102.82,   604.84
  471.37,   100.26,   729.82
  469.44,    97.66,   854.79
  472.13,   227.78,   607.40
  470.21,   225.24,   732.40
  468.27,   222.65,   857.31
  470.98,   352.77,   609.96
  469.05,   350.22,   734.93
  467.12,   347.63,   859.86
  225.18,   224.78,   100.15
  224.64,   223.10,   225.12
  224.05,   221.45,   350.12
  224.28,   349.75,   101.81
  223.73,   348.10,   226.79
  223.15,   346.43,   351.78
  223.47,   474.76,   103.44
  222.88,   473.08,   228.43
  222.27,   471.41,   353.44
  350.18,   225.63,   100.71
  349.61,   223.99,   225.73
  349.06,   222.31,   350.66
  349.30,   350.62,   102.36
  348.78,   348.97,   227.35
  348.21,   347.30,   352.34
  348.38,   475.57,   104.03
  347.88,   473.95,   229.02
  347.33,   472.29,   354.00
  475.16,   226.51,   101.30
  474.61,   224.83,   226.26
  474.05,   223.18,   351.25
  474.30,   351.49,   102.93
  473.69,   349.84,   227.94
  473.15,   348.17,   352.90
  473.46,   476.53,   104.61
  472.82,   474.80,   229.57
  472.29,   473.15,   354.55
  226.94,   225.09,   224.05
  226.67,   226.17,   349.07
  226.47,   227.23,   474.06
  230.23,   350.06,   223.02
  229.96,   351.12,   348.01
  229.78,   352.18,   473.00
  233.57,   475.01,   221.94
  233.27,   476.06,   346.97
  233.10,   477.14,   471.93
  351.87,   221.81,   224.36
  351.64,   222.85,   349.30
  351.43,   223.92,   474.33
  355.21,   346.75,   223.27
  354.98,   347.81,   348.26
  354.71,   348.88,   473.28
  358.50,   471.70,   222.24
  358.29,   472.76,   347.22
  358.01,   473.83,   472.22
  476.84,   218.48,   224.59
  476.59,   219.54,   349.57
  476.35,   220.64,   474.63
  480.10,   343.45,   223.56
  479.88,   344.50,   348.53
  479.65,   345.57,   473.56
  483.41,   468.39,   222.49
  483.19,   469.45,   347.46
  482.96,   470.51,   472.48
  224.13,   225.90,   351.95
  227.84,   224.78,   476.88
  231.49,   223.68,   601.82
  224.47,   350.90,   353.06
  228.22,   349.78,   477.99
  231.85,   348.66,   602.94
  224.84,   475.88,   354.16
  228.59,   474.78,   479.07
  232.21,   473.66,   604.04
  349.10,   225.56,   348.23
  352.79,   224.46,   473.21
  356.45,   223.34,   598.12
  349.48,   350.56,   349.36
  353.13,   349.46,   474.31
  356.83,   348.34,   599.24
  349.84,   475.55,   350.47
  353.49,   474.44,   475.42
  357.20,   473.33,   600.34
  474.03,   225.22,   344.56
  477.70,   224.15,   469.56
  481.39,   222.99,   594.44
  474.38,   350.23,   345.68
  478.05,   349.13,   470.64
  481.76,   348.00,   595.55
  474.75,   475.23,   346.77
  478.42,   474.10,   471.73
  482.13,   472.98,   596.67
  226.69,   226.54,   475.12
  228.12,   223.89,   600.09
  229.59,   221.24,   725.04
  229.75,   351.48,   477.74
  231.15,   348.82,   602.72
  232.66,   346.19,   727.67
  232.79,   476.42,   480.33
  234.18,   473.76,   605.32
  235.69,   471.11,   730.25
  351.65,   223.54,   473.62
  353.09,   220.88,   598.55
  354.56,   218.22,   723.53
  354.66,   348.48,   476.22
  356.14,   345.83,   601.17
  357.56,   343.19,   726.16
