27, 125 pa2-unknown-j-our-output2.txt
  343.38,   213.73,   603.50
  350.06,   344.60,   356.52
  347.85,   341.38,   481.40
  345.66,   338.45,   606.43
  352.11,   469.51,   359.49
  349.90,   466.57,   484.38
  347.61,   463.41,   609.38
  101.46,   223.26,   476.06
   99.61,   222.24,   600.98
   97.44,   221.82,   726.24
  101.93,   347.95,   476.73
   99.82,   347.34,   601.68
   97.86,   346.76,   726.87
  101.82,   472.98,   477.30
  100.11,   472.56,   602.37
   97.94,   471.89,   727.21
  226.54,   222.89,   478.22
  224.73,   222.22,   602.93
  222.43,   221.44,   727.87
  226.90,   347.83,   478.77
  224.73,   347.33,   603.63
  222.72,   346.50,   728.75
  226.90,   472.92,   479.43
  224.85,   472.27,   604.29
  222.88,   471.60,   729.24
  351.62,   222.63,   479.97
  349.58,   221.81,   605.26
  347.67,   221.42,   730.00
  351.70,   347.54,   480.73
  349.66,   346.98,   605.59
  347.60,   346.14,   730.51
  352.01,   472.43,   481.41
  349.74,   471.89,   606.27
  347.92,   471.28,   731.36
   98.19,   225.65,   601.93
   97.70,   223.59,   726.87
   96.98,   221.76,   852.04
   95.71,   350.50,   603.97
   95.06,   348.49,   728.73
   94.82,   346.86,   853.77
   93.32,   475.38,   605.62
   92.77,   473.66,   730.71
   92.39,   471.50,   855.52
  222.96,   227.81,   602.59
  222.43,   226.15,   727.56
  221.84,   224.28,   852.57
  220.56,   352.76,   604.35
  220.25,   350.90,   729.29
  219.41,   349.03,   854.35
  218.19,   477.69,   606.19
  217.69,   475.92,   731.07
  217.22,   473.96,   855.92
  348.05,   229.99,   602.96
  347.66,   228.22,   727.99
  346.96,   226.67,   853.18
  345.68,   355.16,   605.11
  345.05,   353.22,   729.79
  344.55,   351.46,   854.87
  343.20,   479.99,   606.79
  342.81,   478.33,   731.75
  342.03,   476.36,   856.54
  100.51,   351.86,   101.81
   97.34,   353.21,   227.01
   94.21,   354.70,   351.68
  100.26,   476.77,   100.55
   97.52,   477.94,   225.63
   94.44,   479.40,   350.35
  100.27,   601.98,    98.94
   97.43,   603.12,   224.14
   94.34,   604.61,   348.86
  225.47,   351.82,   104.79
  222.44,   353.24,   229.59
  219.17,   354.44,   354.76
  225.41,   476.97,   103.62
  222.22,   478.23,   228.19
  219.37,   479.66,   353.17
  225.35,   601.91,   102.26
  222.29,   603.01,   227.20
  219.22,   604.43,   352.20
  350.25,   352.20,   107.90
  347.40,   353.50,   232.64
  344.35,   354.55,   357.85
  350.40,   477.10,   106.54
  347.38,   478.18,   231.26
  344.38,   479.56,   356.33
  350.29,   601.79,   105.03
  347.23,   603.35,   230.19
  344.21,   604.73,   355.11
  100.99,   351.62,   224.98
  104.23,   349.07,   349.89
  107.80,   346.19,   474.77
  102.67,   476.67,   227.46
  105.82,   473.98,   352.45
  109.22,   471.32,   477.39
  104.06,   601.58,   230.09
  107.59,   599.12,   355.19
  110.99,   596.39,   480.23
  225.87,   349.98,   221.52
  229.48,   347.45,   346.59
  232.69,   344.99,   471.45
  227.68,   475.00,   224.08
  230.83,   472.51,   349.29
  234.13,   469.78,   473.93
  229.16,   600.10,   226.75
  232.58,   597.42,   351.71
  235.57,   594.81,   476.90
  350.92,   348.72,   218.46
  354.06,   345.84,   343.14
  357.69,   343.25,   468.22
  352.49,   473.57,   220.92
  355.77,   470.78,   345.79
  359.11,   468.41,   470.81
  354.17,   598.58,   223.54
  357.36,   595.85,   348.36
  360.88,   593.37,   473.31
   98.29,   350.53,   348.90
   98.20,   349.34,   474.33
   98.25,   348.30,   599.06
  101.71,   475.61,   350.28
  101.80,   474.26,   475.20
  101.75,   473.10,   600.27
  105.08,   600.43,   351.40
  105.23,   599.31,   476.47
  104.95,   598.39,   601.52
  223.24,   347.18,   349.25
  223.05,   346.08,   474.20
  223.18,   344.93,   599.27
  226.70,   472.20,   350.20
  226.64,   470.83,   475.50
  226.36,   469.76,   600.29
  229.99,   597.07,   351.52
  230.08,   596.07,   476.56
  230.09,   594.76,   601.40
  348.15,   343.57,   349.31
  348.11,   342.42,   474.35
  348.02,   341.47,   599.15
  351.60,   468.84,   350.37
  351.64,   467.60,   475.37
  351.30,   466.22,   600.38
  355.12,   593.63,   351.62
  355.00,   592.55,   476.66
  355.12,   591.28,   601.28
   98.91,   350.50,   473.80
  100.04,   351.04,   598.60
  101.41,   351.53,   723.70
   98.41,   475.59,   473.12
  100.00,   476.02,   597.90
  101.21,   476.38,   722.96
   98.50,   600.79,   472.45
   99.62,   601.10,   597.61
  101.06,   601.51,   722.72
  223.86,   350.91,   472.06
  225.14,   351.21,   597.10
  226.38,   351.74,   722.14
  223.70,   475.86,   471.67
  224.92,   476.14,   596.78
  226.25,   476.75,   721.81
  223.33,   600.57,   471.29
  224.71,   601.17,   596.12
  226.22,   601.55,   721.41
  348.83,   351.03,   470.91
  350.25,   351.52,   595.79
  351.28,   351.69,   720.87
  348.74,   475.98,   470.43
  349.67,   476.39,   595.60
  351.12,   476.74,   720.31
  348.32,   600.70,   470.01
  349.91,   601.21,   594.96
  351.27,   602.01,   719.75
  101.37,   351.53,   599.32
  102.27,   348.58,   724.32
  102.97,   346.01,   849.39
  103.40,   476.55,   602.24
  104.29,   473.81,   727.22
  104.77,   470.87,   852.24
  105.37,   601.53,   604.98
  106.17,   598.66,   730.36
  106.81,   595.78,   855.10
  226.83,   349.78,   598.80
  227.54,   347.01,   723.56
  228.05,   343.93,   848.78
  228.29,   474.72,   601.63
  229.14,   471.97,   726.37
  229.95,   468.95,   851.55
  230.44,   599.66,   604.31
  231.21,   596.78,   729.32
  231.82,   593.77,   854.13
