27, 125 pa2-unknown-j-our-output2.txt
  223.01,   352.91,   722.95
  223.62,   355.76,   847.86
  220.34,   474.90,   594.89
  221.06,   477.64,   719.95
  221.87,   481.02,   844.86
  348.64,   226.65,   600.09
  349.58,   229.55,   724.97
  350.04,   232.76,   850.10
  347.25,   351.51,   596.87
  347.81,   354.51,   721.82
  348.58,   357.60,   846.70
  345.52,   476.45,   594.06
  346.22,   479.30,   718.88
  346.84,   482.48,   843.69
  473.52,   227.95,   599.22
  474.32,   231.33,   724.13
  475.15,   234.25,   848.89
  472.09,   352.87,   596.38
  472.72,   355.93,   720.97
  473.50,   358.97,   846.12
  470.39,   477.90,   593.19
  471.13,   481.07,   718.18
  471.79,   483.91,   843.06
  226.48,   348.22,    99.99
  224.87,   345.83,   225.22
  223.07,   343.35,   349.90
  225.76,   473.20,   102.56
  223.71,   470.78,   227.67
  221.98,   468.50,   352.68
  224.80,   598.22,   104.94
  222.81,   595.87,   230.07
  221.06,   593.21,   355.12
  351.55,   349.19,   102.05
  349.83,   346.70,   226.90
  347.86,   344.19,   351.81
  350.51,   474.18,   104.40
  348.82,   471.65,   229.45
  346.80,   469.28,   354.30
  349.61,   599.25,   106.80
  347.88,   596.70,   231.62
  346.07,   594.26,   356.79
  476.54,   350.19,   103.75
  474.76,   347.59,   228.82
  472.98,   345.19,   353.59
  475.63,   474.95,   106.31
  474.00,   472.77,   231.24
  471.87,   470.35,   356.15
  474.53,   599.92,   108.80
  472.95,   597.63,   233.64
  470.97,   595.25,   358.57
  225.33,   351.68,   224.91
  225.34,   347.93,   349.96
  225.50,   344.30,   475.02
  226.15,   476.45,   228.71
  226.11,   472.72,   353.45
  226.41,   469.40,   478.48
  226.62,   601.39,   232.00
  227.00,   598.01,   357.25
  227.02,   594.32,   482.20
  350.28,   350.62,   224.78
  350.25,   347.12,   349.99
  350.61,   343.69,   474.58
  351.02,   475.55,   228.30
  351.35,   472.12,   353.19
  351.44,   468.45,   478.29
  351.84,   600.41,   232.01
  351.85,   597.02,   356.99
  352.08,   593.62,   481.87
  475.21,   350.11,   224.74
  475.31,   346.25,   349.55
  475.45,   342.73,   474.59
  476.21,   474.69,   228.28
  476.04,   471.47,   353.31
  476.23,   467.83,   478.06
  476.82,   599.99,   231.77
  477.10,   596.23,   356.61
  477.08,   592.75,   481.64
  223.93,   347.95,   349.22
  220.92,   345.60,   473.78
  217.81,   342.54,   598.92
  226.28,   473.09,   351.95
  223.33,   470.45,   476.89
  220.37,   467.66,   601.83
  228.99,   598.13,   354.89
  226.05,   595.41,   479.67
  223.09,   592.40,   604.74
  349.06,   345.66,   352.14
  345.67,   342.90,   476.95
  342.94,   340.17,   601.96
  351.30,   470.38,   354.92
  348.18,   467.70,   479.69
  345.46,   464.94,   604.91
  353.80,   595.56,   357.65
  350.70,   592.69,   482.66
  347.85,   589.75,   607.53
  473.80,   342.91,   355.11
  470.98,   340.12,   479.92
  467.84,   337.62,   604.96
  476.32,   468.07,   358.01
  473.38,   465.16,   482.80
  470.27,   462.18,   607.86
  478.77,   592.86,   360.80
  475.90,   590.10,   485.46
  472.72,   587.41,   610.73
  226.22,   351.92,   476.08
  224.18,   348.65,   601.21
  222.30,   345.57,   725.90
  229.64,   476.66,   479.52
  227.57,   473.56,   604.46
  225.92,   470.39,   729.38
  232.89,   601.91,   482.58
  231.08,   598.58,   607.77
  229.19,   595.29,   732.77
  351.37,   348.35,   477.69
  349.11,   345.14,   602.82
  347.32,   342.10,   727.98
  354.34,   473.32,   481.38
  352.48,   470.29,   606.15
  350.76,   467.05,   731.19
  357.96,   598.34,   484.48
  356.01,   595.07,   609.59
  354.12,   591.97,   734.44
  476.30,   345.04,   479.83
  474.33,   341.79,   604.78
  472.44,   338.84,   729.65
  479.38,   470.18,   483.17
  477.44,   467.03,   607.99
  475.55,   463.45,   733.01
  482.93,   594.95,   486.37
  480.73,   591.60,   611.18
  478.82,   588.40,   736.22
  224.09,   350.31,   601.08
  220.20,   354.08,   726.00
  216.63,   357.46,   850.85
  221.37,   475.32,   597.30
  217.84,   478.82,   722.24
  213.90,   482.61,   847.29
  218.70,   600.15,   593.92
  215.15,   603.93,   718.69
  211.32,   607.33,   843.64
  349.11,   353.05,   604.90
  345.25,   356.59,   729.46
  341.51,   360.39,   854.49
  346.40,   478.15,   601.14
  342.63,   481.53,   725.90
  338.95,   485.12,   851.08
  343.87,   602.97,   597.51
  340.11,   606.55,   722.53
  336.10,   610.26,   847.54
  473.74,   356.13,   608.26
  469.99,   359.47,   733.30
  466.52,   362.83,   858.20
  471.16,   480.93,   604.97
  467.55,   484.52,   729.53
  463.92,   488.03,   854.67
  468.79,   605.93,   601.37
  464.95,   609.22,   726.12
  461.14,   612.99,   850.79
  223.12,   473.66,    98.26
  226.88,   475.14,   223.13
  230.54,   476.38,   348.14
  223.87,   598.86,    97.05
  227.64,   599.99,   222.03
  231.34,   601.41,   346.96
  224.77,   723.58,    95.75
  228.26,   725.23,   220.67
  232.14,   726.59,   345.58
  348.16,   473.14,    94.52
  351.91,   474.15,   219.56
  355.62,   475.45,   344.70
  348.65,   597.87,    93.38
  352.69,   599.36,   218.15
  356.19,   600.65,   343.01
  349.63,   722.93,    91.85
  353.13,   724.44,   216.98
  357.00,   725.51,   341.92
  472.95,   472.08,    90.91
  476.67,   473.53,   215.99
  480.29,   474.80,   340.95
  473.98,   597.17,    89.75
  477.28,   598.40,   214.76
  481.19,   599.59,   339.54
  474.86,   722.18,    88.42
  478.04,   723.32,   213.15
  481.76,   724.64,   338.07
  223.99,   474.18,   223.93
  225.42,   471.91,   349.07
  226.91,   469.35,   473.83
  221.97,   599.06,   226.45
  223.19,   596.67,   351.24
  224.68,   594.34,   476.39
  219.67,   724.24,   228.94
  221.12,   721.56,   353.88
  222.66,   719.15,   478.89
  349.00,   476.50,   222.63
  350.30,   474.06,   347.54
  352.09,   471.60,   472.50
  346.69,   601.41,   225.10
  348.22,   598.95,   350.06
  349.89,   596.31,   475.07
  344.56,   726.23,   227.29
  346.34,   724.01,   352.41
  347.45,   721.52,   477.26
  473.87,   478.37,   221.13
  475.56,   476.16,   346.20
  476.76,   473.63,   471.15
  471.79,   603.44,   223.57
  473.48,   601.07,   348.59
  474.82,   598.84,   473.68
  469.45,   728.68,   226.16
  471.03,   725.91,   351.07
  472.54,   723.67,   475.75
  224.94,   474.69,   348.26
  225.60,   471.58,   473.56
  225.85,   468.76,   598.43
  228.30,   599.62,   351.46
  228.84,   596.60,   476.28
  229.26,   593.72,   601.45
  231.54,   724.40,   354.47
  232.19,   721.27,   479.45
  232.77,   718.30,   604.44
  349.92,   471.57,   347.68
  350.53,   468.40,   472.78
  351.09,   465.36,   597.91
  353.38,   596.19,   350.83
  353.54,   593.20,   475.79
  354.47,   590.19,   600.84
  356.52,   721.08,   353.65
  357.27,   718.07,   478.84
  357.76,   715.09,   603.62
  474.91,   468.00,   347.29
  475.42,   465.11,   472.29
  475.91,   461.81,   596.92
  478.26,   593.06,   350.36
  478.57,   589.98,   475.04
  479.13,   586.81,   600.03
  481.36,   717.84,   353.10
  481.96,   714.86,   478.29
  482.66,   711.68,   603.09
  223.19,   473.20,   474.24
  224.07,   471.71,   599.20
  225.20,   470.12,   724.12
  219.35,   598.44,   475.93
  220.59,   596.62,   600.91
  221.54,   594.96,   725.85
  215.92,   723.08,   477.78
  216.96,   721.53,   602.60
  217.73,   719.86,   727.48
  348.12,   477.11,   473.35
  348.99,   475.27,   598.27
  350.06,   473.49,   723.11
  344.57,   601.65,   475.04
  345.61,   600.28,   599.79
  346.38,   598.79,   724.97
  340.81,   726.96,   476.42
  341.90,   725.26,   601.52
  342.95,   723.51,   726.52
  472.84,   480.57,   472.34
  474.06,   478.96,   597.38
  475.09,   477.24,   722.33
  469.50,   605.61,   473.83
  470.38,   603.92,   599.09
  471.32,   602.34,   723.85
  465.67,   730.19,   475.65
  466.84,   728.80,   600.65
  467.94,   727.34,   725.61
  223.21,   474.43,   600.04
  224.88,   475.96,   724.93
  226.67,   477.45,   850.07
  220.56,   599.52,   598.64
  221.89,   600.78,   723.59
  223.49,   602.34,   848.66
  217.40,   724.47,   597.42
  218.85,   725.93,   722.26
  220.54,   727.23,   847.45
  348.26,   477.30,   598.32
  349.60,   478.93,   723.56
  351.60,   480.24,   848.44
  345.46,   602.45,   596.93
  347.07,   603.87,   721.89
  348.52,   605.01,   847.25
  342.46,   727.31,   595.63
  343.94,   728.76,   720.60
  345.56,   730.28,   845.55
  473.03,   480.29,   596.79
  475.00,   481.77,   721.64
  476.48,   482.93,   846.85
  470.22,   605.45,   595.43
  471.98,   606.52,   720.53
  473.32,   608.17,   845.24
  467.59,   730.38,   594.15
  468.81,   731.43,   719.29
  470.78,   732.93,   844.20
  225.69,   599.48,    99.64
  226.61,   599.42,   224.61
  227.32,   599.13,   349.68
  224.22,   724.70,    99.74
  225.16,   724.42,   225.06
  225.82,   724.43,   350.05
  222.82,   849.75,   100.21
  223.69,   849.47,   225.12
  224.49,   849.10,   349.91
  350.66,   601.14,    98.98
  351.47,   600.67,   224.00
  352.44,   600.74,   348.66
  349.16,   726.16,    99.02
  350.20,   725.77,   224.12
  350.80,   725.62,   348.89
  347.88,   850.92,    99.34
  348.72,   850.97,   224.14
  349.50,   850.57,   349.09
  475.73,   602.35,    98.01
  476.41,   602.20,   223.01
  477.16,   602.10,   347.93
  474.02,   727.33,    98.35
  475.14,   727.42,   223.15
  476.07,   727.19,   348.37
  472.94,   852.43,    98.35
  473.84,   852.26,   223.41
  474.49,   851.90,   348.43
  223.31,   599.87,   224.52
  225.92,   599.36,   349.59
  228.15,   598.58,   474.39
  225.50,   724.88,   225.04
  227.79,   724.24,   350.11
  230.01,   723.54,   474.95
  227.12,   849.77,   225.57
  229.49,   849.15,   350.65
  231.94,   848.65,   475.64
  348.27,   597.98,   222.30
  350.77,   597.26,   347.13
  353.01,   596.72,   472.30
  350.29,   722.74,   222.82
  352.80,   722.54,   347.95
  354.91,   721.94,   472.91
  352.27,   847.86,   223.36
  354.39,   847.15,   348.15
  356.84,   846.86,   473.32
  473.37,   596.12,   220.09
  475.55,   595.55,   345.13
  477.91,   595.11,   469.89
  475.39,   720.91,   220.33
  477.79,   720.63,   345.69
  479.63,   719.77,   470.23
  477.13,   846.09,   221.16
  479.43,   845.43,   345.89
  481.81,   844.93,   470.85
  225.43,   600.13,   348.97
  223.27,   599.50,   473.85
  220.96,   599.18,   598.99
  224.98,   725.04,   349.33
  222.60,   724.64,   474.37
  220.49,   724.29,   599.16
  224.72,   849.77,   349.45
  222.38,   849.49,   474.44
  220.33,   849.34,   599.44
  350.51,   600.54,   351.16
  348.11,   600.01,   475.83
  345.92,   599.70,   601.16
  349.91,   725.32,   351.30
  347.87,   724.96,   476.24
  345.48,   724.58,   601.31
  349.48,   850.47,   351.75
  347.45,   850.17,   476.80
  345.05,   849.77,   601.83
  475.20,   600.88,   353.29
  473.12,   600.57,   478.31
  470.97,   600.33,   603.31
  474.87,   725.72,   353.54
  472.70,   725.65,   478.46
  470.75,   725.19,   603.80
  474.48,   850.74,   354.13
  472.37,   850.29,   478.99
  470.11,   850.15,   603.73
  225.52,   600.63,   473.42
  226.15,   599.58,   598.54
  226.47,   598.35,   723.36
  223.85,   725.53,   474.30
  224.02,   724.40,   599.43
  224.63,   723.52,   724.56
  221.58,   850.67,   475.67
  222.38,   849.35,   600.59
  222.69,   848.46,   725.54
  350.71,   602.48,   473.05
  351.07,   601.40,   597.80
  351.61,   600.39,   722.71
  348.59,   727.42,   474.11
  349.19,   726.33,   598.92
  349.47,   725.59,   723.86
  346.70,   852.38,   475.01
  347.06,   851.57,   600.07
  347.82,   850.56,   725.01
  475.80,   604.23,   472.50
  476.14,   603.26,   597.47
  476.47,   602.45,   722.46
  473.43,   729.49,   473.33
  474.35,   728.37,   598.36
  474.67,   727.37,   723.35
  471.80,   854.48,   474.53
  472.31,   853.23,   599.41
  472.77,   852.26,   724.54
  224.64,   600.98,   601.90
  227.70,   599.91,   726.85
  230.83,   598.77,   852.00
  223.28,   726.10,   603.25
  226.14,   724.81,   728.21
  228.99,   723.95,   853.07
  221.35,   851.02,   604.21
  224.45,   850.00,   729.38
  227.52,   848.97,   854.23
  349.71,   602.91,   599.13
  352.68,   601.55,   723.97
  355.76,   600.32,   848.83
  347.94,   727.57,   600.14
  351.02,   726.46,   725.21
  353.88,   725.41,   850.13
  346.39,   852.65,   601.39
  349.56,   851.69,   726.23
  352.44,   850.25,   851.15
  474.66,   604.28,   595.97
  477.51,   603.09,   721.03
  480.51,   602.18,   845.92
  473.01,   729.41,   597.09
  476.08,   727.92,   722.02
  479.18,   726.84,   847.29
  471.38,   854.36,   598.20
  474.38,   853.05,   723.24
  477.43,   852.18,   848.36
  350.76,    98.44,   100.04
  351.73,    98.14,   225.06
  352.40,    98.07,   349.69
  348.41,   223.54,   100.07
  349.24,   223.39,   225.14
  350.05,   223.02,   350.01
  346.29,   348.53,   100.46
  347.26,   348.13,   225.30
  347.91,   348.16,   350.11
  475.79,   100.74,    99.19
  476.58,   100.55,   224.16
  477.57,   100.27,   349.25
  473.38,   225.63,    99.37
  474.31,   225.56,   224.26
  475.08,   225.36,   349.17
  471.29,   350.60,    99.69
  472.16,   350.54,   224.33
  472.83,   350.17,   349.58
  600.75,   102.94,    98.46
  601.64,   102.89,   223.35
  602.25,   102.61,   348.21
  598.63,   227.97,    98.56
  599.45,   227.98,   223.55
  599.93,   227.72,   348.52
  596.17,   352.92,    98.62
  597.05,   352.58,   223.65
  597.67,   352.59,   348.80
  348.14,   101.08,   225.39
  351.32,    97.82,   350.32
  354.92,    94.82,   475.39
  350.91,   225.94,   228.63
  354.49,   223.04,   353.40
  357.98,   219.56,   478.33
  354.07,   351.10,   231.75
  357.45,   347.71,   356.74
  360.96,   344.54,   481.75
  473.16,    98.08,   222.01
  476.41,    95.20,   347.05
  479.70,    91.87,   471.85
  475.97,   223.33,   225.19
  479.33,   219.98,   350.26
  482.75,   216.74,   475.06
  479.03,   348.09,   228.25
  482.43,   344.96,   353.22
  485.63,   341.62,   477.98
  597.85,    95.34,   218.66
  601.33,    92.00,   343.32
  604.82,    88.75,   468.25
  601.06,   220.24,   221.60
  604.19,   216.98,   346.79
  607.57,   213.64,   471.57
  603.85,   345.08,   224.87
  607.40,   341.83,   349.61
  610.88,   338.57,   474.57
  352.01,   101.85,   350.83
  349.00,    99.90,   475.75
  346.29,    98.17,   600.93
  353.36,   226.69,   352.75
  350.31,   224.87,   477.85
  347.73,   222.93,   602.61
  354.57,   351.81,   354.96
  351.79,   349.92,   479.88
  349.06,   348.15,   604.87
  476.68,   100.57,   353.81
  474.10,    98.49,   478.71
  471.47,    96.63,   603.44
  478.00,   225.71,   355.61
  475.61,   223.59,   480.51
  472.72,   221.76,   605.45
  479.53,   350.46,   357.53
  476.93,   348.61,   482.44
  473.91,   346.74,   607.54
  601.75,    99.37,   356.13
  598.97,    97.43,   481.27
  596.44,    95.34,   606.20
  602.99,   224.36,   358.21
  600.50,   222.12,   483.02
  597.49,   220.38,   608.05
  604.42,   349.17,   360.22
  601.79,   347.19,   485.07
  598.90,   345.42,   610.14
  348.76,    98.12,   476.91
  346.45,    97.26,   601.74
  344.50,    96.17,   726.86
  345.07,   223.15,   477.76
  343.05,   222.14,   603.02
  340.75,   221.10,   727.92
  341.27,   348.28,   478.88
  339.22,   346.90,   603.71
  337.26,   346.04,   728.58
  473.60,   101.98,   479.06
  471.25,   100.96,   603.83
  469.20,    99.67,   728.98
  469.89,   226.72,   479.99
  467.81,   225.88,   604.89
  465.51,   224.65,   729.89
  466.22,   351.62,   480.82
  463.99,   350.65,   606.00
  462.09,   349.52,   730.75
  598.30,   105.47,   481.08
  596.34,   104.64,   605.95
  594.15,   103.48,   731.16
  594.79,   230.48,   481.94
  592.78,   229.31,   607.04
  590.61,   228.58,   732.03
  591.17,   355.46,   482.92
  589.04,   354.24,   608.21
  587.04,   353.13,   733.17
  348.57,   101.53,   599.69
  350.52,   100.99,   724.30
  352.90,   100.07,   849.20
  351.97,   226.58,   600.04
  354.14,   225.92,   725.19
  356.36,   225.00,   850.12
  355.44,   351.56,   601.15
  357.94,   350.84,   725.93
  360.21,   349.87,   850.79
  473.20,    98.35,   597.06
  475.83,    97.64,   722.18
  478.00,    96.52,   847.32
  476.80,   223.28,   597.73
  479.27,   222.22,   722.75
  481.46,   221.49,   847.65
  480.61,   348.16,   598.64
  482.67,   347.26,   723.66
  484.96,   346.36,   848.79
  598.35,    94.71,   594.86
  600.64,    93.62,   719.71
  602.67,    93.12,   844.97
  602.02,   219.40,   595.69
  604.21,   218.67,   720.52
  606.31,   218.14,   845.83
  605.62,   344.44,   596.42
  607.81,   343.55,   721.58
  609.91,   342.97,   846.36
  349.04,   226.10,    99.84
  349.52,   224.95,   225.05
  349.84,   223.79,   350.14
  349.11,   351.43,   101.25
  349.51,   349.90,   226.51
  349.90,   348.74,   351.42
  349.45,   476.13,   102.68
  349.65,   474.86,   227.69
  350.08,   473.54,   352.75
  474.22,   226.11,    99.49
  474.50,   224.95,   224.73
  474.82,   223.50,   349.74
  474.10,   350.89,   101.11
  474.81,   349.83,   226.09
  475.10,   348.44,   350.97
  474.30,   475.94,   102.34
  474.84,   474.78,   227.40
  475.17,   473.34,   352.10
  598.88,   225.85,    99.18
  599.56,   224.64,   224.15
  599.81,   223.15,   349.12
  599.46,   351.13,   100.46
  599.47,   349.55,   225.43
  600.09,   348.13,   350.44
  599.25,   476.08,   101.98
  599.66,   474.62,   226.84
  600.09,   473.26,   351.94
  351.06,   224.08,   224.41
  347.86,   223.51,   349.25
  344.49,   222.72,   474.09
  354.14,   348.85,   225.02
  350.76,   348.50,   349.99
  347.63,   347.77,   474.81
  357.35,   474.17,   225.88
  354.26,   473.32,   351.00
  351.00,   472.72,   475.77
  475.79,   220.74,   227.61
  472.74,   220.15,   352.54
  469.49,   219.68,   477.58
  479.03,   345.83,   228.39
  476.03,   345.24,   353.04
  472.50,   344.69,   478.11
  482.15,   470.92,   229.17
  479.13,   470.01,   354.20
  475.69,   469.31,   478.99
  600.98,   217.85,   230.91
  597.47,   216.98,   355.53
  594.49,   216.42,   480.64
  604.00,   342.69,   231.33
  600.91,   341.76,   356.48
  597.71,   341.30,   481.59
  607.16,   467.62,   232.36
  603.93,   466.79,   357.12
  600.55,   466.22,   482.06
  348.50,   226.31,   351.80
  347.15,   225.37,   476.64
  345.80,   224.73,   601.65
  350.57,   351.24,   352.51
  349.15,   350.65,   477.55
  347.64,   349.75,   602.68
  352.11,   476.41,   353.48
  350.76,   475.42,   478.38
  349.62,   474.77,   603.43
  473.72,   224.36,   352.98
  472.15,   223.56,   478.11
  470.91,   222.88,   603.04
  475.55,   349.48,   353.88
  473.99,   348.54,   479.15
  472.82,   347.81,   603.91
  477.31,   474.55,   355.07
  475.71,   473.71,   480.05
  474.48,   472.69,   604.96
  598.32,   222.76,   354.44
  597.15,   221.93,   479.34
  595.66,   220.75,   604.37
  600.33,   347.74,   355.13
  598.95,   346.84,   480.36
  597.71,   345.85,   605.27
  602.02,   472.61,   356.25
  600.80,   471.74,   481.03
  599.47,   470.96,   606.16
  350.64,   223.25,   476.26
  353.35,   224.30,   601.60
  356.17,   225.59,   726.45
  351.00,   348.11,   475.03
  353.43,   349.22,   600.30
  356.38,   350.65,   725.23
  350.68,   473.11,   473.80
  353.66,   474.49,   598.68
  356.32,   475.75,   723.79
  475.73,   223.19,   473.95
  478.39,   224.39,   598.71
  481.19,   225.68,   723.85
  475.67,   348.09,   472.58
  478.55,   349.23,   597.39
  480.99,   350.87,   722.17
  475.66,   472.88,   471.23
  478.41,   474.43,   596.31
  481.18,   475.83,   721.04
  600.70,   222.92,   471.21
  603.34,   224.47,   595.88
  606.32,   225.54,   720.97
  600.88,   348.04,   469.65
  603.39,   349.42,   594.78
  605.97,   350.58,   719.82
  600.59,   473.04,   468.48
  603.34,   474.25,   593.43
  606.31,   475.56,   718.53
  348.46,   227.13,   598.73
  347.07,   228.72,   723.90
  345.84,   230.28,   848.90
  345.92,   351.92,   597.04
  344.66,   353.79,   722.08
  343.28,   355.38,   846.90
  343.85,   476.85,   595.49
  342.20,   478.67,   720.58
  341.08,   480.39,   845.53
  473.44,   229.35,   600.04
  471.90,   231.03,   725.07
  470.76,   232.72,   849.93
  471.08,   354.50,   598.50
  469.78,   355.88,   723.48
  468.25,   357.65,   848.60
  468.51,   479.24,   596.78
  467.44,   480.82,   721.62
  466.05,   482.75,   846.62
  598.35,   231.47,   601.54
  597.21,   233.43,   726.45
  595.68,   235.10,   851.40
  595.99,   356.76,   599.64
  594.75,   358.48,   724.68
  593.47,   359.92,   849.82
  593.68,   481.53,   597.92
  592.24,   483.31,   723.06
  590.94,   485.03,   847.90
  349.77,   351.86,    99.85
  353.08,   352.24,   224.80
  356.22,   353.19,   349.79
  352.07,   476.64,    99.00
  355.15,   477.54,   223.93
  358.19,   477.90,   349.01
  354.14,   601.85,    98.49
  357.14,   602.42,   223.28
  360.52,   602.85,   348.41
  474.86,   349.55,    96.72
  478.07,   350.18,   221.55
  481.31,   350.97,   346.49
  476.87,   474.30,    95.74
  480.16,   475.15,   221.14
  483.48,   475.84,   346.00
  479.11,   599.51,    95.41
  482.10,   600.34,   220.14
  485.52,   600.80,   345.40
  599.65,   347.55,    93.74
  602.74,   347.92,   218.62
  605.99,   348.84,   343.55
  601.63,   472.58,    92.69
  605.11,   473.17,   217.86
  608.27,   473.67,   342.90
  604.10,   597.36,    91.92
  607.17,   598.02,   216.89
  610.48,   598.87,   341.90
  349.53,   349.49,   224.54
  351.99,   352.01,   349.75
  354.13,   354.27,   474.41
  352.37,   474.73,   222.10
  354.77,   476.74,   347.23
  356.88,   479.10,   472.13
  355.34,   599.48,   220.05
  357.70,   601.97,   344.73
  359.76,   604.28,   469.68
  474.69,   346.60,   222.48
  476.79,   348.86,   347.27
  479.07,   351.42,   472.24
  477.32,   471.78,   219.98
  479.65,   473.91,   345.02
  482.05,   476.32,   469.89
  480.34,   596.61,   217.72
  482.43,   598.88,   342.47
  484.85,   601.42,   467.59
  599.49,   343.75,   220.32
  601.74,   346.15,   345.12
  604.21,   348.66,   470.34
  602.49,   468.88,   217.74
  604.55,   471.22,   342.58
  606.96,   473.48,   467.76
  605.16,   593.50,   215.28
  607.39,   596.23,   340.38
  609.95,   598.29,   465.37
  348.98,   350.88,   351.37
  346.17,   352.80,   475.98
  343.39,   354.61,   601.29
  352.08,   475.83,   349.64
  349.38,   477.69,   474.45
  346.51,   479.54,   599.28
  354.98,   600.91,   347.81
  352.40,   602.64,   472.80
  349.69,   604.34,   597.82
  474.04,   347.78,   353.92
  471.08,   349.77,   478.80
  468.45,   351.58,   603.75
  477.15,   473.00,   352.26
  474.33,   474.46,   477.30
  471.29,   476.38,   602.35
  479.94,   597.66,   350.42
  477.11,   599.41,   475.72
  474.51,   601.49,   600.31
  599.04,   344.67,   356.91
  596.07,   346.54,   481.68
  593.42,   348.60,   606.53
  602.09,   469.92,   355.06
  599.04,   471.62,   479.91
  596.43,   473.50,   605.05
  605.02,   594.75,   353.22
  602.46,   596.57,   478.52
  599.39,   598.24,   603.19
  349.29,   351.46,   474.67
  346.39,   351.41,   599.77
  343.33,   351.13,   724.57
  347.09,   476.54,   474.54
  344.18,   476.33,   599.49
  341.16,   476.33,   724.75
  344.95,   601.28,   474.62
  341.89,   601.51,   599.46
  338.82,   601.09,   724.53
  474.08,   353.67,   477.66
  471.31,   353.43,   602.34
  468.28,   353.55,   727.29
  471.96,   478.59,   477.66
  469.15,   478.53,   602.57
  465.89,   478.53,   727.53
  469.62,   603.61,   477.46
  466.99,   603.57,   602.74
  463.90,   603.29,   727.65
  599.04,   355.90,   480.53
  595.99,   355.59,   605.29
  593.01,   355.74,   730.36
  596.89,   480.83,   480.75
  594.02,   480.94,   605.44
  590.85,   480.72,   730.55
  594.90,   605.95,   480.84
  591.79,   605.57,   605.45
  588.83,   605.47,   730.66
  351.64,   348.71,   599.41
  350.66,   347.04,   724.23
  350.13,   345.26,   849.26
  351.49,   474.00,   601.11
  350.98,   471.82,   726.31
  350.38,   470.04,   851.11
  352.03,   598.98,   603.14
  351.30,   596.87,   728.08
  350.43,   595.15,   853.03
  476.40,   348.68,   600.12
  475.99,   346.90,   725.01
  475.20,   344.88,   849.76
  476.84,   473.71,   602.04
  476.09,   471.58,   726.91
  475.45,   470.03,   852.01
  477.10,   598.82,   603.99
  476.21,   596.62,   728.89
  475.30,   594.80,   853.86
  601.50,   348.73,   600.62
  600.83,   346.61,   725.51
  599.96,   344.62,   850.50
  601.62,   473.47,   602.61
  601.09,   471.38,   727.74
  600.32,   469.54,   852.63
  601.82,   598.71,   604.71
  601.28,   596.47,   729.57
  600.65,   594.61,   854.49
  349.63,   476.85,   100.83
  350.72,   477.75,   225.96
  352.06,   478.68,   350.78
  350.57,   601.63,    99.81
  351.99,   602.91,   224.75
  352.93,   603.94,   349.99
  351.84,   726.87,    98.82
  353.10,   727.63,   223.76
  354.19,   728.67,   348.98
  474.90,   475.76,    99.79
  475.63,   476.51,   224.86
  476.91,   477.53,   349.91
  476.04,   600.82,    98.72
  476.87,   601.66,   223.88
  478.00,   602.66,   348.88
  476.96,   725.62,    97.77
  477.77,   726.66,   222.90
  478.94,   727.64,   347.78
  599.43,   474.61,    98.65
  600.89,   475.75,   223.80
  601.99,   476.51,   348.93
  600.94,   599.46,    97.59
  601.78,   600.68,   222.59
  602.93,   601.68,   347.63
  601.83,   724.73,    96.79
  602.89,   725.46,   221.66
  603.96,   726.63,   346.64
  349.49,   473.76,   223.96
  349.97,   474.45,   348.91
  350.37,   475.54,   474.16
  350.26,   598.65,   223.17
  350.89,   599.63,   348.14
  351.05,   600.59,   473.22
  351.29,   723.46,   222.05
  351.57,   724.42,   347.14
  352.16,   725.53,   471.95
  474.67,   472.73,   223.55
  475.12,   473.87,   348.82
  475.62,   474.83,   473.52
  475.62,   597.59,   222.79
  475.91,   598.92,   347.67
  476.08,   599.70,   472.74
  476.33,   722.92,   221.70
  476.72,   723.53,   346.76
  476.84,   724.82,   471.62
  599.66,   472.19,   223.27
  599.97,   473.14,   348.15
  600.60,   473.76,   473.44
  600.36,   597.16,   222.10
  600.79,   597.92,   347.45
  601.31,   598.81,   472.11
  601.08,   722.19,   221.46
  601.68,   723.10,   346.22
  601.88,   723.90,   471.14
  351.13,   475.51,   348.80
  348.36,   472.64,   474.01
  346.05,   469.79,   598.95
  350.94,   600.64,   351.63
  348.40,   597.70,   476.61
  345.88,   594.97,   601.50
  350.80,   725.35,   354.49
  348.38,   722.55,   479.52
  345.63,   719.68,   604.62
  475.89,   475.59,   351.59
  473.63,   472.63,   476.40
  470.78,   469.78,   601.37
  476.02,   600.51,   354.52
  473.34,   597.81,   479.24
  470.78,   594.94,   604.22
  475.71,   725.67,   357.30
  473.31,   722.76,   482.21
  470.71,   720.00,   607.16
  600.90,   475.78,   353.92
  598.51,   472.69,   478.79
  596.03,   470.07,   603.80
  600.74,   600.72,   356.74
  598.36,   597.98,   481.61
  595.98,   594.85,   606.78
  600.72,   725.75,   359.84
  598.31,   722.82,   484.59
  595.65,   719.91,   609.48
  350.61,   474.06,   473.34
  353.97,   473.41,   598.44
  357.65,   472.62,   723.28
  347.57,   599.03,   474.42
  351.31,   598.21,   599.20
  355.00,   597.56,   724.15
  344.60,   723.94,   475.22
  348.09,   723.10,   600.30
  351.76,   722.31,   725.35
  475.52,   477.25,   469.93
  479.27,   476.27,   594.78
  482.67,   475.33,   719.62
  472.29,   602.16,   470.88
  476.31,   601.36,   595.75
  479.66,   600.66,   720.45
  469.57,   726.93,   471.82
  473.22,   726.36,   596.73
