27, 125 pa2-debug-e-our-output2.txt
  233.72,   348.11,   850.01
  227.89,   476.18,   601.71
  231.64,   474.53,   726.60
  235.10,   472.95,   851.62
  350.31,   224.95,   595.06
  353.86,   223.35,   720.04
  357.40,   221.72,   844.99
  351.57,   349.88,   596.61
  355.10,   348.36,   721.56
  358.66,   346.83,   846.50
  352.84,   474.90,   598.17
  356.38,   473.28,   723.12
  359.93,   471.71,   847.98
  475.26,   223.63,   591.54
  478.68,   222.09,   716.50
  482.13,   220.49,   841.41
  476.56,   348.62,   593.05
  480.11,   347.13,   718.00
  483.59,   345.56,   842.97
  477.87,   473.64,   594.59
  481.38,   472.09,   719.52
  484.80,   470.45,   844.57
  225.10,   350.85,    98.36
  224.02,   350.82,   223.46
  222.55,   350.87,   348.50
  227.64,   475.70,    98.71
  226.17,   475.77,   223.48
  224.70,   475.83,   348.50
  229.45,   600.84,    98.29
  228.37,   600.78,   223.45
  226.96,   600.83,   348.46
  350.14,   348.64,    99.72
  348.90,   348.65,   224.78
  347.61,   348.67,   349.77
  352.30,   473.45,    99.80
  351.14,   473.67,   224.73
  349.78,   473.64,   349.77
  354.48,   598.59,    99.72
  353.28,   598.61,   224.72
  351.98,   598.68,   349.71
  475.23,   346.43,   101.13
  473.87,   346.42,   226.10
  472.61,   346.50,   351.03
  477.55,   471.44,   101.10
  476.04,   471.41,   226.13
  474.71,   471.40,   351.08
  479.65,   596.43,   101.09
  478.25,   596.36,   226.10
  476.95,   596.44,   351.07
  223.33,   349.22,   225.71
  223.76,   348.17,   350.73
  224.57,   347.12,   475.66
  220.87,   474.16,   226.83
  221.31,   473.12,   351.83
  222.05,   472.01,   476.77
  218.47,   599.14,   227.90
  218.94,   598.11,   352.90
  219.68,   597.05,   477.84
  348.24,   351.67,   225.15
  348.81,   350.59,   350.15
  349.42,   349.57,   475.14
  345.86,   476.69,   226.19
  346.38,   475.56,   351.25
  347.02,   474.49,   476.23
  343.39,   601.61,   227.28
  343.98,   600.58,   352.27
  344.58,   599.50,   477.29
  473.19,   354.05,   224.62
  473.81,   353.02,   349.55
  474.37,   352.00,   474.60
  470.76,   479.04,   225.74
  471.31,   477.93,   350.69
  471.95,   476.90,   475.69
  468.36,   603.97,   226.80
  468.95,   602.95,   351.77
  469.52,   601.90,   476.74
  222.97,   349.27,   351.72
  226.65,   347.77,   476.60
  229.86,   346.19,   601.63
  220.57,   474.22,   353.33
  224.19,   472.65,   478.22
  227.54,   471.23,   603.20
  218.26,   599.20,   354.91
  221.87,   597.68,   479.80
  225.15,   596.15,   604.77
  347.98,   351.67,   348.28
  351.46,   350.19,   473.22
  354.86,   348.61,   598.16
  345.60,   476.63,   349.88
  349.10,   475.11,   474.82
  352.47,   473.61,   599.78
  343.24,   601.65,   351.42
  346.73,   600.11,   476.38
  350.13,   598.54,   601.36
  472.92,   354.07,   344.82
  476.37,   352.62,   469.80
  479.84,   350.99,   594.72
  470.49,   478.99,   346.47
  473.99,   477.51,   471.41
  477.48,   476.01,   596.32
  468.18,   604.01,   348.05
  471.62,   602.50,   472.96
  475.09,   600.97,   597.88
  226.07,   350.36,   476.22
  228.55,   350.66,   601.27
  231.43,   351.10,   726.17
  223.31,   475.25,   475.94
  225.94,   475.71,   600.95
  228.88,   475.98,   725.87
  220.71,   600.27,   475.63
  223.26,   600.63,   600.64
  226.06,   601.03,   725.56
  350.89,   353.02,   473.53
  353.56,   353.33,   598.50
  356.30,   353.72,   723.48
  348.24,   477.94,   473.23
  350.87,   478.32,   598.22
  353.63,   478.63,   723.19
  345.58,   602.95,   472.90
  348.25,   603.27,   597.90
  350.99,   603.70,   722.88
  475.80,   355.69,   470.80
  478.56,   355.96,   595.73
  481.30,   356.41,   720.73
  473.14,   480.58,   470.51
  475.91,   480.97,   595.44
  478.61,   481.35,   720.41
  470.47,   605.58,   470.18
  473.23,   605.93,   595.12
  476.00,   606.29,   720.07
  223.28,   349.66,   601.67
  221.83,   351.12,   726.59
  220.09,   352.50,   851.60
  225.95,   474.69,   600.30
  224.56,   475.99,   725.24
  222.80,   477.29,   850.35
  228.56,   599.61,   598.94
  227.05,   601.03,   723.88
  225.45,   602.44,   848.88
  348.30,   347.05,   603.24
  346.75,   348.47,   728.23
  345.21,   349.89,   853.18
  350.90,   472.04,   601.92
  349.36,   473.37,   726.90
  347.83,   474.77,   851.79
  353.57,   596.98,   600.56
  352.01,   598.44,   725.55
  350.45,   599.87,   850.50
  473.32,   344.42,   604.81
  471.73,   345.91,   729.84
  470.14,   347.25,   854.78
  475.96,   469.42,   603.48
  474.34,   470.82,   728.48
  472.64,   472.10,   853.53
  478.57,   594.39,   602.13
  477.02,   595.76,   727.10
  475.39,   597.12,   852.13
  223.71,   473.28,   102.00
  226.70,   475.89,   226.72
  229.74,   478.48,   351.68
  222.42,   598.41,    99.07
  225.81,   600.88,   224.16
  228.88,   603.47,   349.11
  221.75,   723.20,    96.82
  224.86,   725.89,   221.53
  227.97,   728.40,   346.62
  348.32,   474.07,    98.59
  351.65,   476.82,   223.45
  354.79,   479.33,   348.44
  347.38,   599.17,    95.97
  350.69,   601.75,   220.92
  353.89,   604.35,   345.85
  346.70,   723.97,    93.58
  349.74,   726.76,   218.39
  352.94,   729.22,   343.32
  473.57,   475.07,    95.39
  476.54,   477.60,   220.35
  479.70,   480.12,   345.25
  472.58,   600.09,    92.84
  475.64,   602.52,   217.79
  478.85,   605.15,   342.69
  471.54,   724.91,    90.18
  474.77,   727.59,   215.23
  477.99,   730.12,   340.09
  225.02,   472.99,   223.21
  221.23,   475.81,   348.14
  217.78,   478.54,   473.01
  226.08,   597.98,   220.43
  222.32,   600.78,   345.38
  218.88,   603.59,   470.23
  227.06,   722.99,   217.58
  223.38,   725.71,   342.67
  219.85,   728.56,   467.38
  349.97,   472.13,   226.78
  346.29,   474.86,   351.76
  342.72,   477.65,   476.67
  350.95,   597.05,   224.03
  347.33,   599.87,   348.95
  343.74,   602.65,   473.88
  351.95,   722.04,   221.30
  348.33,   724.74,   346.21
  344.76,   727.63,   471.17
  474.83,   471.09,   230.53
  471.19,   473.85,   355.41
  467.63,   476.68,   480.33
  475.88,   596.04,   227.76
  472.28,   598.87,   352.64
  468.65,   601.68,   477.53
  476.96,   721.05,   224.98
  473.36,   723.83,   349.84
  469.63,   726.64,   474.82
  225.62,   473.87,   349.06
  224.50,   472.77,   474.00
  223.14,   471.81,   599.01
  223.29,   598.85,   350.07
  222.17,   597.79,   475.01
  220.72,   596.73,   600.03
  220.92,   723.79,   351.16
  219.73,   722.79,   475.96
  218.36,   721.66,   601.09
  350.69,   476.24,   350.33
  349.46,   475.19,   475.31
  348.08,   474.15,   600.33
  348.32,   601.26,   351.31
  347.07,   600.19,   476.32
  345.73,   599.09,   601.35
  345.88,   726.15,   352.36
  344.67,   725.19,   477.41
  343.35,   724.12,   602.41
  475.62,   478.56,   351.64
  474.39,   477.55,   476.64
  473.15,   476.52,   601.58
  473.29,   603.59,   352.67
  472.00,   602.55,   477.63
  470.74,   601.50,   602.60
  470.95,   728.57,   353.65
  469.56,   727.52,   478.70
  468.38,   726.38,   603.54
  223.06,   475.06,   475.11
  224.06,   474.75,   600.13
  225.35,   474.26,   725.09
  226.24,   600.08,   475.48
  227.15,   599.65,   600.51
  228.32,   599.29,   725.45
  229.31,   725.06,   475.78
  230.30,   724.60,   600.93
  231.55,   724.19,   725.80
  348.01,   471.99,   474.03
  349.01,   471.60,   599.04
  350.14,   471.13,   724.03
  351.11,   596.98,   474.37
  352.16,   596.53,   599.41
  353.27,   596.20,   724.40
  354.20,   721.97,   474.82
  355.28,   721.53,   599.80
  356.24,   721.14,   724.86
  472.93,   468.87,   472.94
  474.06,   468.49,   597.89
  475.13,   468.09,   722.89
  476.03,   593.85,   473.28
  477.15,   593.45,   598.26
  478.28,   593.04,   723.23
  479.10,   718.81,   473.69
  480.28,   718.33,   598.56
  481.58,   717.93,   723.53
  223.91,   474.75,   600.01
  221.85,   478.20,   724.91
  219.42,   481.65,   849.97
  223.87,   599.64,   596.46
  221.68,   603.22,   721.34
  219.44,   606.77,   846.30
  223.87,   724.57,   592.95
  221.84,   728.10,   717.74
  219.62,   731.61,   842.76
  348.88,   474.80,   602.26
  346.69,   478.29,   727.18
  344.52,   481.86,   852.01
  348.89,   599.73,   598.70
  346.67,   603.34,   723.64
  344.46,   606.95,   848.54
  348.87,   724.71,   595.19
  346.46,   728.28,   720.19
  344.17,   731.75,   845.10
  473.95,   474.89,   604.44
  471.68,   478.44,   729.39
  469.32,   481.87,   854.38
  473.91,   599.84,   600.88
  471.71,   603.36,   725.79
  469.44,   606.88,   850.79
  473.89,   724.71,   597.26
  471.87,   728.26,   722.16
  469.66,   731.77,   847.20
  226.06,   601.32,    97.91
  227.03,   600.56,   223.06
  227.66,   599.90,   348.08
  224.81,   726.15,    98.87
  225.49,   725.58,   223.68
  226.18,   724.85,   348.81
  223.22,   851.30,    99.40
  223.99,   850.52,   224.36
  224.71,   849.90,   349.53
  351.09,   602.74,    97.29
  351.94,   602.07,   222.28
  352.70,   601.44,   347.29
  349.76,   727.64,    98.07
  350.41,   727.08,   223.00
  351.16,   726.34,   347.98
  348.10,   852.69,    98.62
  348.99,   852.02,   223.63
  349.65,   851.38,   348.68
  476.29,   604.29,    96.61
  476.93,   603.50,   221.62
  477.69,   602.88,   346.60
  474.68,   729.21,    97.19
  475.48,   728.58,   222.28
  476.25,   727.88,   347.23
  473.33,   854.26,    97.84
  473.91,   853.42,   223.09
  474.78,   852.95,   347.73
  225.50,   599.01,   226.28
  223.07,   602.56,   351.22
  220.92,   606.10,   476.10
  226.68,   724.00,   222.70
  224.30,   727.47,   347.77
  222.08,   731.06,   472.50
  227.91,   848.88,   219.16
  225.54,   852.47,   344.30
  223.34,   856.03,   468.92
  350.41,   597.88,   228.59
  348.10,   601.45,   353.51
  345.81,   604.97,   478.45
  351.59,   722.83,   225.10
  349.27,   726.30,   350.02
  347.01,   729.93,   475.00
  352.87,   847.75,   221.56
  350.47,   851.31,   346.52
  348.20,   854.73,   471.40
  475.38,   596.66,   231.02
  473.07,   600.25,   355.92
  470.74,   603.79,   480.82
  476.63,   721.66,   227.49
  474.34,   725.19,   352.36
  471.91,   728.74,   477.35
  477.81,   846.57,   224.08
  475.58,   850.23,   348.67
  473.19,   853.71,   474.04
  224.89,   601.42,   350.00
  226.00,   604.25,   474.92
  226.76,   607.05,   599.92
  225.75,   726.34,   347.24
  226.81,   729.23,   472.01
  227.65,   732.00,   597.13
  226.63,   851.37,   344.45
  227.68,   854.20,   469.10
  228.55,   857.01,   594.39
  349.93,   600.57,   349.02
  350.90,   603.38,   474.00
  351.81,   606.16,   599.01
  350.76,   725.45,   346.21
  351.74,   728.37,   471.24
  352.67,   731.18,   596.19
  351.58,   850.49,   343.39
  352.57,   853.19,   468.35
  353.53,   856.14,   593.28
  474.93,   599.65,   348.16
  475.86,   602.49,   473.09
  476.83,   605.31,   598.03
  475.84,   724.61,   345.28
  476.68,   727.45,   470.29
  477.71,   730.20,   595.13
  476.71,   849.67,   342.27
  477.59,   852.44,   467.66
  478.58,   855.27,   592.34
  225.76,   600.22,   473.37
  226.50,   596.95,   598.35
  227.47,   593.73,   723.26
  223.13,   725.16,   476.56
  223.93,   721.84,   601.67
  225.04,   718.59,   726.49
  220.55,   850.12,   479.79
  221.37,   846.81,   605.01
  222.47,   843.57,   729.65
  350.65,   602.85,   472.53
  351.51,   599.54,   597.52
  352.43,   596.35,   722.48
  348.05,   727.79,   475.87
  348.93,   724.52,   600.83
  349.69,   721.28,   725.85
  345.44,   852.58,   479.06
  346.31,   849.45,   604.03
  347.01,   846.13,   729.24
  475.59,   605.43,   471.71
  476.52,   602.16,   596.64
  477.46,   598.89,   721.57
  472.95,   730.35,   475.03
  473.96,   727.02,   599.84
  475.06,   723.77,   724.77
  470.43,   855.31,   478.53
  471.40,   852.06,   603.10
  472.55,   848.80,   727.94
  226.19,   600.85,   601.11
  227.69,   600.67,   726.06
  229.09,   600.48,   851.05
  223.29,   725.80,   601.41
  224.95,   725.57,   726.25
  226.20,   725.30,   851.37
  220.41,   850.80,   601.75
  221.94,   850.59,   726.47
  223.29,   850.27,   851.71
  351.19,   603.78,   599.69
  352.64,   603.62,   724.68
  354.09,   603.42,   849.65
  348.27,   728.79,   599.98
  349.54,   728.57,   725.04
  350.95,   728.28,   849.97
  345.33,   853.75,   600.18
  346.58,   853.43,   725.42
  348.18,   853.32,   850.07
  476.19,   606.71,   598.21
  477.67,   606.47,   723.19
  479.06,   606.21,   848.24
  473.28,   731.60,   598.40
  474.93,   731.38,   723.37
  476.39,   731.13,   848.45
  470.41,   856.69,   598.69
  472.10,   856.43,   723.49
  473.30,   856.04,   849.05
  349.28,   100.74,    99.13
  350.62,   100.77,   224.08
  352.04,   100.99,   349.03
  351.11,   225.55,    98.89
  352.33,   225.78,   223.89
  353.70,   225.93,   348.87
  352.69,   350.67,    98.65
  354.08,   350.80,   223.70
  355.43,   350.94,   348.68
  474.41,    98.88,    97.62
  475.62,    99.09,   222.69
  477.00,    99.28,   347.70
  475.95,   223.96,    97.56
  477.38,   224.14,   222.54
  478.72,   224.22,   347.51
  477.78,   348.90,    97.42
  479.06,   349.04,   222.39
  480.42,   349.22,   347.32
  599.18,    97.25,    96.49
  600.64,    97.33,   221.41
  601.92,    97.53,   346.39
  601.05,   222.15,    96.20
  602.31,   222.39,   221.21
  603.64,   222.48,   346.21
  602.68,   347.09,    96.03
  604.08,   347.32,   221.04
  605.37,   347.45,   346.05
  348.87,    99.42,   223.25
  350.34,   101.13,   348.19
  351.62,   102.69,   473.19
  350.29,   224.43,   221.59
  351.71,   226.05,   346.55
  353.09,   227.72,   471.57
  351.75,   349.45,   219.92
  353.14,   351.06,   344.90
  354.55,   352.74,   469.88
  473.87,    98.03,   221.82
  475.30,    99.68,   346.82
  476.62,   101.27,   471.85
  475.33,   223.07,   220.21
  476.74,   224.63,   345.15
  478.04,   226.26,   470.20
  476.72,   347.97,   218.58
  478.13,   349.62,   343.50
  479.51,   351.31,   468.52
  598.89,    96.54,   220.50
  600.23,    98.22,   345.48
  601.72,    99.86,   470.40
  600.27,   221.61,   218.84
  601.65,   223.15,   343.82
  603.08,   224.87,   468.79
  601.75,   346.52,   217.19
  603.09,   348.12,   342.19
  604.56,   349.87,   467.16
  348.73,    99.41,   351.29
  347.37,    97.10,   476.28
  346.20,    94.96,   601.21
  346.25,   224.31,   353.52
  345.00,   222.11,   478.52
  343.78,   219.91,   603.43
  343.85,   349.29,   355.72
  342.63,   347.10,   480.69
  341.31,   344.80,   605.68
  473.66,   101.77,   352.60
  472.36,    99.52,   477.60
  471.19,    97.28,   602.59
  471.27,   226.71,   354.78
  469.93,   224.48,   479.82
  468.76,   222.22,   604.76
  468.83,   351.69,   356.97
  467.56,   349.49,   481.99
  466.35,   347.17,   606.93
  598.57,   104.11,   353.92
  597.43,   101.94,   478.83
  596.08,    99.70,   603.83
  596.19,   229.10,   356.11
  594.96,   226.93,   481.07
  593.71,   224.65,   606.04
  593.78,   354.05,   358.32
  592.60,   351.91,   483.30
  591.24,   349.59,   608.26
  350.48,   101.21,   473.50
  348.74,    98.55,   598.41
  346.99,    95.79,   723.40
  352.33,   226.21,   476.30
  350.54,   223.49,   601.19
  348.74,   220.70,   726.19
  354.18,   351.19,   479.02
  352.30,   348.39,   603.99
  350.51,   345.69,   728.95
  475.47,    99.38,   475.30
  473.72,    96.63,   600.27
  471.67,    93.95,   725.19
  477.27,   224.33,   478.08
  475.52,   221.56,   603.00
  473.54,   218.83,   727.99
  479.13,   349.35,   480.83
  477.34,   346.52,   605.74
  475.50,   343.88,   730.74
  600.57,    97.57,   477.01
  598.60,    94.82,   602.00
  597.03,    92.08,   726.96
  602.29,   222.53,   479.82
  600.47,   219.75,   604.77
  598.67,   217.04,   729.74
  604.17,   347.52,   482.62
  602.24,   344.69,   607.57
  600.52,   341.95,   732.51
  349.98,    98.76,   601.16
  350.31,   101.77,   726.17
  350.63,   104.86,   851.13
  347.62,   223.68,   598.06
  347.93,   226.76,   723.06
  348.25,   229.84,   848.02
  345.23,   348.57,   594.99
  345.54,   351.71,   719.95
  345.89,   354.85,   844.90
  474.98,   101.03,   600.89
  475.03,   104.09,   725.80
  475.30,   107.33,   850.78
  472.61,   225.94,   597.75
  472.77,   229.09,   722.74
  473.03,   232.21,   847.64
  470.27,   350.89,   594.62
  470.56,   354.08,   719.61
  470.77,   357.15,   844.59
  599.86,   103.38,   600.49
  600.33,   106.48,   725.46
  600.60,   109.57,   850.45
  597.56,   228.31,   597.40
  597.89,   231.46,   722.36
  598.16,   234.55,   847.34
  595.19,   353.25,   594.31
  595.53,   356.34,   719.24
  595.93,   359.44,   844.21
  349.11,   225.70,   101.20
  350.51,   224.08,   226.19
  352.04,   222.41,   351.15
  350.82,   350.81,   102.78
  352.39,   349.09,   227.81
  353.91,   347.41,   352.79
  352.67,   475.62,   104.50
  354.29,   474.11,   229.42
  355.76,   472.37,   354.46
  473.94,   224.01,    99.67
  475.54,   222.33,   224.64
  477.06,   220.58,   349.60
  475.92,   348.93,   101.35
  477.36,   347.22,   226.31
  478.90,   345.59,   351.23
  477.90,   473.94,   102.97
  479.21,   472.20,   228.00
  480.68,   470.48,   352.93
  599.04,   222.07,    98.11
  600.47,   220.47,   223.12
  601.97,   218.72,   348.10
  600.83,   347.01,    99.75
  602.38,   345.37,   224.77
  603.85,   343.69,   349.76
  602.56,   472.10,   101.39
  604.24,   470.50,   226.36
  605.71,   468.72,   351.38
  349.74,   226.18,   223.14
  353.15,   229.70,   348.02
  356.51,   233.26,   472.95
  347.82,   351.15,   219.63
  351.19,   354.64,   344.54
  354.59,   358.22,   469.44
  345.91,   476.12,   216.11
  349.24,   479.59,   341.07
  352.66,   483.11,   465.98
  474.73,   228.11,   219.68
  478.15,   231.58,   344.55
  481.43,   235.11,   469.52
  472.74,   352.97,   216.23
  476.14,   356.50,   341.07
  479.52,   360.10,   466.02
  470.78,   477.92,   212.79
  474.12,   481.38,   337.66
  477.55,   484.95,   462.56
  599.63,   229.96,   216.26
  603.00,   233.41,   341.16
  606.44,   237.03,   466.04
  597.74,   354.84,   212.77
  601.05,   358.32,   337.69
  604.51,   361.96,   462.59
  595.77,   479.91,   209.23
  599.13,   483.34,   334.19
  602.49,   486.84,   459.08
  349.38,   223.85,   349.74
  351.54,   220.95,   474.73
  353.72,   218.04,   599.61
  349.61,   348.85,   352.67
  351.78,   345.95,   477.62
  353.90,   342.94,   602.56
  349.81,   473.79,   355.62
  352.01,   470.87,   480.56
  354.08,   467.94,   605.53
  474.41,   223.70,   347.55
  476.48,   220.75,   472.56
  478.71,   217.80,   597.47
  474.60,   348.69,   350.47
  476.74,   345.80,   475.46
  478.93,   342.76,   600.37
  474.75,   473.58,   353.46
  476.96,   470.69,   478.41
  479.16,   467.77,   603.32
  599.32,   223.51,   345.42
  601.50,   220.64,   470.35
  603.67,   217.67,   595.29
  599.55,   348.47,   348.36
  601.80,   345.64,   473.31
  603.85,   342.64,   598.24
  599.78,   473.49,   351.27
  601.92,   470.54,   476.20
  604.06,   467.57,   601.19
  348.15,   225.56,   473.47
  346.38,   227.49,   598.38
  344.64,   229.37,   723.39
  351.52,   350.53,   471.56
  349.69,   352.37,   596.55
  347.92,   354.31,   721.52
  354.88,   475.41,   469.72
  353.02,   477.34,   594.70
  351.25,   479.20,   719.68
  473.04,   222.21,   475.31
  471.34,   224.09,   600.23
  469.42,   226.04,   725.24
  476.44,   347.23,   473.41
  474.69,   349.04,   598.35
  472.91,   351.04,   723.34
  479.79,   472.09,   471.57
  478.04,   474.02,   596.50
  476.23,   475.94,   721.48
  598.04,   218.93,   477.09
  596.26,   220.81,   602.05
  594.51,   222.77,   727.04
  601.45,   343.92,   475.25
  599.56,   345.75,   600.21
  597.87,   347.65,   725.17
  604.72,   468.78,   473.36
  602.91,   470.68,   598.36
  601.10,   472.64,   723.34
  350.36,   226.75,   599.10
  352.81,   230.31,   724.06
  355.26,   233.88,   848.98
  350.17,   351.66,   595.54
  352.60,   355.25,   720.48
  355.06,   358.86,   845.39
  350.00,   476.63,   591.99
  352.43,   480.15,   716.92
  354.92,   483.74,   841.77
  475.34,   226.76,   596.69
  477.65,   230.39,   721.64
  480.04,   233.97,   846.52
  475.20,   351.72,   593.10
  477.64,   355.38,   718.03
  479.99,   358.93,   843.00
  475.06,   476.70,   589.52
  477.46,   480.30,   714.45
  479.76,   483.80,   839.49
  600.30,   226.88,   594.26
  602.76,   230.50,   719.19
  605.18,   234.06,   844.14
  600.12,   351.83,   590.71
  602.59,   355.39,   715.60
  605.12,   358.96,   840.54
  599.97,   476.76,   587.13
  602.35,   480.38,   712.06
  604.76,   484.04,   836.94
  348.08,   349.08,   100.68
  349.45,   348.22,   225.74
  350.76,   347.37,   350.73
  350.12,   473.89,   101.58
  351.54,   473.23,   226.51
  352.80,   472.33,   351.55
  352.15,   599.03,   102.31
  353.54,   598.17,   227.32
  354.85,   597.37,   352.32
  473.18,   347.01,    99.47
  474.42,   346.14,   224.44
  475.76,   345.35,   349.37
  475.35,   472.01,   100.27
  476.45,   471.13,   225.30
  477.72,   470.25,   350.24
  477.31,   597.01,   101.08
  478.51,   596.08,   226.09
  479.83,   595.29,   351.06
  598.09,   344.88,    98.10
  599.43,   344.09,   223.13
  600.70,   343.25,   348.12
  600.02,   469.98,    98.92
  601.49,   469.22,   223.88
  602.75,   468.29,   348.90
  602.14,   594.83,    99.72
  603.49,   594.07,   224.69
  604.84,   593.29,   349.71
  348.48,   349.67,   223.67
  348.65,   348.74,   348.66
  348.84,   347.88,   473.67
  345.24,   474.67,   224.53
  345.35,   473.69,   349.59
  345.57,   472.78,   474.58
  341.91,   599.58,   225.46
  342.08,   598.70,   350.46
  342.27,   597.77,   475.46
  473.41,   352.91,   223.56
  473.61,   352.04,   348.48
  473.77,   351.18,   473.54
  470.12,   477.87,   224.51
  470.26,   476.92,   349.46
  470.48,   476.06,   474.47
  466.86,   602.79,   225.40
  467.03,   601.93,   350.37
  467.18,   601.04,   475.34
  598.41,   356.20,   223.40
  598.54,   355.27,   348.41
  598.78,   354.48,   473.40
  595.14,   481.29,   224.26
  595.27,   480.29,   349.29
  595.42,   479.36,   474.28
  591.81,   606.09,   225.19
  592.01,   605.25,   350.20
  592.17,   604.35,   475.19
  351.66,   350.90,   351.25
  353.26,   350.63,   476.24
  354.79,   350.25,   601.23
  348.55,   475.86,   351.63
  350.18,   475.55,   476.62
  351.66,   475.23,   601.62
  345.47,   600.88,   351.94
  347.07,   600.54,   476.95
  348.60,   600.17,   601.97
  476.62,   354.01,   349.65
  478.19,   353.74,   474.69
  479.80,   353.33,   599.63
  473.46,   478.91,   350.07
  475.09,   478.63,   475.07
  476.70,   478.34,   600.00
  470.42,   603.93,   350.43
  471.98,   603.62,   475.39
  473.59,   603.29,   600.36
  601.54,   357.06,   348.13
  603.20,   356.85,   473.12
  604.67,   356.46,   598.10
  598.46,   482.09,   348.47
  600.03,   481.74,   473.44
  601.59,   481.40,   598.47
  595.41,   607.04,   348.83
  596.97,   606.74,   473.82
  598.52,   606.41,   598.85
  349.74,   349.75,   474.43
  347.41,   352.47,   599.39
  345.16,   355.27,   724.34
  347.12,   474.64,   471.62
  344.75,   477.43,   596.59
  342.52,   480.16,   721.54
  344.48,   599.63,   468.76
  342.15,   602.35,   593.75
  339.89,   605.21,   718.71
  474.67,   352.45,   476.66
  472.43,   355.14,   601.57
  470.15,   358.00,   726.55
  472.03,   477.32,   473.85
  469.79,   480.12,   598.76
  467.48,   482.91,   723.72
  469.38,   602.29,   471.00
  467.14,   605.06,   595.92
  464.91,   607.82,   720.85
  599.68,   355.14,   478.88
  597.30,   357.85,   603.82
  595.12,   360.63,   728.75
  596.97,   480.02,   476.02
  594.68,   482.78,   601.00
  592.39,   485.62,   725.95
  594.36,   604.99,   473.20
  592.07,   607.77,   598.18
  589.81,   610.51,   723.11
  350.66,   349.44,   598.99
  354.07,   349.86,   723.95
  357.48,   350.26,   848.89
  349.19,   474.46,   598.68
  352.62,   474.79,   723.64
  356.05,   475.17,   848.51
  347.81,   599.43,   598.32
  351.21,   599.88,   723.28
  354.63,   600.30,   848.20
  475.66,   350.83,   595.56
  479.07,   351.31,   720.54
  482.41,   351.66,   845.51
  474.24,   475.87,   595.24
  477.60,   476.26,   720.20
  480.89,   476.56,   845.24
  472.79,   600.87,   594.88
  476.22,   601.24,   719.81
  479.58,   601.58,   844.83
  600.54,   352.29,   592.20
  604.00,   352.65,   717.13
  607.51,   353.00,   842.10
  599.11,   477.26,   591.87
  602.47,   477.69,   716.83
  605.84,   478.15,   841.71
  597.71,   602.30,   591.54
  601.11,   602.66,   716.48
  604.60,   603.04,   841.43
  350.43,   476.32,    99.01
  351.01,   475.62,   223.93
  351.40,   474.68,   348.99
  352.16,   601.46,    99.82
  352.69,   600.56,   224.82
  353.14,   599.71,   349.82
  354.01,   726.39,   100.76
  354.39,   725.55,   225.72
  354.84,   724.62,   350.71
  475.70,   474.76,    98.56
  475.93,   473.82,   223.60
  476.33,   472.89,   348.55
  477.34,   599.76,    99.43
  477.68,   598.77,   224.45
  478.12,   597.94,   349.42
  478.96,   724.72,   100.22
  479.45,   723.82,   225.30
  479.91,   722.93,   350.25
  600.36,   473.02,    98.09
  600.98,   472.23,   223.04
  601.38,   471.25,   348.07
  602.18,   597.88,    98.94
  602.66,   597.07,   223.91
  603.15,   596.25,   348.94
  603.96,   722.98,    99.87
  604.38,   722.10,   224.83
  604.79,   721.19,   349.79
  349.06,   473.42,   226.61
  348.83,   471.25,   351.66
  348.71,   469.15,   476.62
  351.82,   598.33,   228.74
  351.66,   596.26,   353.72
  351.52,   594.12,   478.71
  354.61,   723.27,   230.88
  354.43,   721.12,   355.85
  354.30,   719.10,   480.88
  473.96,   470.53,   226.84
  473.76,   468.38,   351.78
  473.65,   466.32,   476.77
  476.78,   595.45,   228.94
  476.62,   593.39,   353.90
  476.45,   591.29,   478.85
  479.64,   720.45,   231.03
  479.48,   718.34,   355.97
  479.22,   716.25,   480.99
  598.99,   467.85,   226.86
  598.77,   465.64,   351.88
  598.60,   463.52,   476.86
  601.76,   592.68,   228.97
  601.63,   590.62,   353.98
  601.44,   588.50,   478.96
  604.54,   717.64,   231.12
  604.36,   715.52,   356.07
  604.26,   713.43,   481.12
  350.32,   475.20,   350.83
  350.51,   477.10,   475.81
  350.55,   479.00,   600.82
  349.57,   600.23,   348.89
  349.74,   602.11,   473.89
  349.82,   603.96,   598.91
  348.76,   725.12,   347.01
  348.95,   727.10,   472.05
  349.07,   728.99,   597.05
  475.27,   475.90,   350.69
  475.47,   477.84,   475.68
  475.64,   479.76,   600.62
  474.56,   600.94,   348.79
  474.69,   602.85,   473.74
  474.87,   604.74,   598.71
  473.85,   725.92,   346.85
  473.89,   727.84,   471.90
  474.11,   729.64,   596.74
  600.32,   476.74,   350.51
  600.45,   478.61,   475.48
  600.57,   480.50,   600.50
  599.60,   601.73,   348.62
  599.73,   603.63,   473.60
  599.84,   605.52,   598.62
  598.75,   726.69,   346.68
  598.96,   728.58,   471.73
  599.06,   730.52,   596.73
  348.16,   474.41,   473.45
  349.07,   475.01,   598.47
  350.12,   475.55,   723.47
  344.57,   599.39,   472.87
  345.52,   599.93,   597.91
  346.56,   600.60,   722.89
  340.97,   724.35,   472.36
  341.95,   724.93,   597.38
  342.78,   725.54,   722.44
  473.06,   477.97,   472.44
  474.11,   478.59,   597.40
  475.09,   479.19,   722.40
  469.47,   602.95,   471.85
  470.51,   603.54,   596.82
  471.57,   604.11,   721.79
  465.84,   727.90,   471.33
  466.94,   728.41,   596.18
  468.16,   729.01,   721.15
