150 PA5-C-Debug-Output.txt
    -4.60   -16.49    -5.59    -4.59   -16.65    -5.55    0.172
     2.38    20.49    52.46     2.33    20.63    52.46    0.141
    -2.67    12.04    30.79    -2.43    12.12    30.80    0.260
    -9.36     8.79   -13.87    -9.27     8.53   -13.90    0.275
   -43.90    -8.02   -19.93   -43.64    -8.04   -19.89    0.267
    11.28    29.06    11.04    11.30    29.11    11.04    0.058
    32.42     0.95     6.11    32.44     0.94     6.13    0.034
   -27.35     7.15   -39.42   -27.34     7.15   -39.43    0.010
    -6.78    18.17    25.06    -6.76    18.18    25.07    0.026
   -34.22     6.33   -29.74   -34.18     6.29   -29.73    0.063
     0.57    -8.77    21.85     0.57    -8.73    21.84    0.042
    -2.03    13.19     7.99    -2.10    13.24     7.95    0.100
    -6.48    -1.55    22.45    -6.07    -1.46    22.39    0.429
    -2.65    10.01   -14.23    -2.33     9.29   -14.27    0.790
     3.03    19.34     6.83     2.75    19.43     6.66    0.341
     0.25    13.96     3.86     0.19    14.09     3.84    0.136
     7.47     3.32    64.09     7.53     3.32    64.11    0.056
     5.87   -16.69    -5.46     5.77   -17.53    -5.39    0.849
   -17.21   -31.35   -14.57   -17.28   -31.05   -14.78    0.370
   -17.22    12.90   -35.43   -17.22    12.94   -35.49    0.074
   -23.81   -12.93   -50.45   -23.80   -12.93   -50.46    0.014
    11.50     2.70   -24.60    12.17     2.12   -24.42    0.907
    11.65    -6.76    20.14    11.52    -7.88    20.17    1.129
    -9.72    10.73   -21.79    -9.67    10.49   -21.86    0.254
    16.80    -5.26    21.36    16.99    -5.65    21.49    0.445
    13.47    10.93   -21.49    13.45    10.93   -21.50    0.022
    12.40     3.64   -25.20    12.90     3.59   -24.92    0.573
   -15.19   -17.14   -51.15   -15.26   -17.24   -51.31    0.195
   -32.79     4.78   -37.75   -32.82     5.06   -37.86    0.300
   -12.57   -16.19    -5.83   -12.58   -16.01    -6.07    0.303
    -6.41     9.75   -15.68    -6.44     9.19   -15.65    0.561
   -31.07   -20.57   -45.31   -31.00   -20.55   -45.26    0.094
    -2.71     4.21    46.60    -2.22     4.14    46.70    0.505
    18.10    26.05   -22.20    17.93    25.70   -22.22    0.387
   -11.52    -7.03     3.36   -11.41    -6.95     3.22    0.197
    16.24    -7.83   -28.42    16.17    -7.84   -28.51    0.107
   -13.13   -17.71    -7.35   -13.14   -17.63    -7.43    0.115
    12.44     1.47    63.30    12.34     1.46    63.55    0.271
     3.20     2.82    64.03     3.12     2.72    64.34    0.334
     7.59     6.72    64.55     7.53     6.78    64.49    0.102
    14.70    28.87    -1.83    14.78    28.57    -1.85    0.303
     0.38    -7.24    51.41     0.47    -7.14    51.41    0.136
   -14.73   -34.48   -32.58   -14.45   -34.19   -32.57    0.402
   -34.86   -10.72    -9.23   -34.96   -10.59    -8.74    0.517
     0.91   -16.18   -31.56     1.10   -15.83   -31.54    0.402
    16.36   -16.38   -14.64    16.36   -16.37   -14.63    0.020
     2.31    -7.98    25.35     2.32    -8.00    25.36    0.028
    12.10     2.66   -25.52    12.56     2.27   -25.40    0.613
   -12.83   -18.36    -7.84   -12.84   -18.34    -7.89    0.061
   -11.35   -33.37   -22.57   -11.14   -33.74   -22.44    0.445
    -8.53   -17.73    -7.93    -8.54   -17.82    -7.83    0.129
    20.89    -2.50    19.25    21.36    -2.89    19.42    0.633
